Location Name,Facility Type,Location in Facility,Start Date,End Date,Resident/ Patient/ Child/ Student Cases,Resident/ Patient/ Child/ Student Deaths,Staff Cases,Staff Deaths,Total Cases,Total Deaths
RENÉE TASSÉ DAYCARE,Childcare,,2020-07-24 0:00,2020-08-08 0:00,0,0,3,0,3,0
RESIDENTIAL PROGRAM - 20775,Other,Facility-wide,2020-11-16 0:00,2020-11-27 0:00,,,,,,
RIDEAU PLACE,RH,Facility-wide,2020-09-30 0:00,2020-10-19 0:00,0,0,1,0,1,0
RIVERPATH RETIREMENT,RH,Facility-wide,2020-10-23 0:00,2020-11-10 0:00,0,0,3,0,3,0
RIVERSIDE MONTESSORI PRESCHOOL,Childcare,,2020-09-26 0:00,2020-10-09 0:00,1,0,0,0,1,0
RIVERVIEW DEVELOPMENT SERVICES,Other,Facility-wide,2020-09-11 0:00,2020-09-30 0:00,1,0,4,0,5,0
ROBERTSON HOUSE,RH,Facility-wide,2020-05-26 0:00,2020-06-18 0:00,4,0,1,0,5,0
ROBERTSON HOUSE,RH,Facility-wide,2020-09-22 0:00,2020-10-06 0:00,0,0,1,0,1,0
ROBERTSON HOUSE,RH,Facility-wide,2020-11-08 0:00,2020-11-14 0:00,2,0,1,0,3,0
ROCKCLIFFE RETIREMENT,RH,Facility-wide,2020-05-01 0:00,2020-05-26 0:00,1,0,1,0,2,0
ROCKCLIFFE RETIREMENT,RH,Facility-wide,2020-08-25 0:00,2020-09-08 0:00,1,0,1,0,2,0
ROCKCLIFFE RETIREMENT,RH,Facility-wide,2020-10-18 0:00,2020-11-12 0:00,9,1,3,0,12,1
ROLAND MICHENER PUBLIC SCHOOL,School,,2020-11-30 0:00,,2,0,0,0,2,0
ROOMING HOUSE - 00380,Other,Facility-wide,2020-09-18 0:00,2020-10-17 0:00,3,0,0,0,3,0
ROOMING HOUSE - 20485,Other,Facility-wide,2020-11-08 0:00,2020-11-19 0:00,2,0,0,0,2,0
ROYAL OTTAWA HOSPITAL,Hospital,Geriatric South,2020-10-18 0:00,2020-10-24 0:00,0,0,1,0,1,0
ROYAL OTTAWA PLACE,LTCH,Facility-wide,2020-10-10 0:00,2020-10-22 0:00,0,0,1,0,1,0
SERVICE A L'ENFANCE ALADIN CHILD CARE SERVICES,Childcare,,2020-09-28 0:00,2020-10-12 0:00,1,0,0,0,1,0
"SERVICE À L'ENFANCE ALADIN, ST-ANNE",Childcare,,2020-10-05 0:00,2020-10-20 0:00,1,0,0,0,1,0
Services à l'enfance Grandir ensemble - La Maisonnée,Childcare,,2020-10-17 0:00,2020-10-30 0:00,1,0,0,0,1,0
"Services à l'enfance Grandir ensemble - Le Manège, Pierre-Elliot-Trudeau",Childcare,,2020-10-14 0:00,2020-10-29 0:00,0,0,1,0,1,0
SHELTER - 20117,Other,Facility-wide,2020-11-01 0:00,2020-11-15 0:00,1,0,0,0,1,0
SHELTER - 20868,Other,Facility-wide,2020-11-18 0:00,,3,0,0,0,3,0
SHEPHERDS OF GOOD HOPE,Other,Facility-wide,2020-05-14 0:00,2020-06-05 0:00,5,0,0,0,5,0
SISTERS OF CHARITY,RH,Facility-wide,2020-10-03 0:00,2020-11-12 0:00,18,2,9,0,27,2
ST BERNARD SCHOOL,School,,2020-11-19 0:00,2020-11-27 0:00,2,0,0,0,2,0
ST VINCENT HOSPITAL,Hospital,3 South,2020-09-23 0:00,2020-11-13 0:00,32,6,46,0,78,6
ST. JEROME SCHOOL,School,,2020-10-08 0:00,2020-10-23 0:00,4,0,2,0,6,0
ST. JOSEPH HIGH SCHOOL,School,,2020-10-12 0:00,2020-10-24 0:00,3,0,0,0,3,0
ST. LOUIS RESIDENCE,LTCH,Facility-wide,2020-04-21 0:00,2020-06-29 0:00,35,9,20,0,55,9
ST. LOUIS RESIDENCE,LTCH,Facility-wide,2020-08-17 0:00,2020-09-03 0:00,0,0,2,0,2,0
ST. LOUIS RESIDENCE,LTCH,Facility-wide,2020-09-12 0:00,2020-10-11 0:00,1,0,4,0,5,0
ST. LOUIS RESIDENCE,LTCH,Facility-wide,2020-10-16 0:00,2020-10-31 0:00,0,0,2,0,2,0
ST. LOUIS RESIDENCE,LTCH,Facility-wide,2020-11-07 0:00,2020-11-25 0:00,0,0,3,0,3,0
ST. LUKE SCHOOL,School,,2020-10-07 0:00,2020-10-14 0:00,1,0,1,0,2,0
ST. MOTHER TERESA HIGH SCHOOL,School,,2020-11-05 0:00,2020-11-16 0:00,0,0,3,0,3,0
ST. MOTHER TERESA HIGH SCHOOL (2),School,,2020-11-06 0:00,2020-11-17 0:00,2,0,0,0,2,0
ST. PATRICK'S HIGH SCHOOL,School,,2020-11-09 0:00,2020-11-13 0:00,2,0,0,0,2,0
ST. PATRICK'S HIGH SCHOOL,School,,2020-11-13 0:00,2020-11-14 0:00,1,0,0,0,1,0
ST. PATRICK'S HOME,LTCH,Facility-wide,2020-10-04 0:00,,3,0,10,0,13,0
ST. PATRICK'S HOME,LTCH,Facility-wide,2020-04-29 0:00,2020-06-15 0:00,10,3,6,0,16,3
ST. PATRICK'S HOME,LTCH,Facility-wide,2020-07-27 0:00,2020-08-11 0:00,0,0,1,0,1,0
ST. PATRICK'S HOME,LTCH,Facility-wide,2020-09-11 0:00,2020-09-26 0:00,0,0,2,0,2,0
ST. PETER HIGH SCHOOL,School,,2020-10-14 0:00,2020-10-24 0:00,2,0,0,0,2,0
ST. RITA SCHOOL,School,,2020-10-22 0:00,2020-10-30 0:00,2,0,0,0,2,0
ST. STEPHEN ELEMENTARY SCHOOL,School,,2020-11-20 0:00,2020-11-27 0:00,1,0,1,0,2,0
"ST-BERNADETTE - ""PETITS PAS A TROIS""",Childcare,,2020-10-26 0:00,2020-11-10 0:00,1,0,0,0,1,0
STILLWATER CREEK,RH,Facility-wide,2020-05-16 0:00,2020-06-12 0:00,0,0,3,0,3,0
STIRLING PARK,RH,Facility-wide,2020-11-05 0:00,2020-11-27 0:00,0,0,3,0,3,0
STITTSVILLE VILLA BY REVERA,RH,Facility-wide,2020-10-03 0:00,2020-10-12 0:00,0,0,1,0,1,0
SUPPORTIVE HOUSING - 20189,Other,Facility-wide,2020-11-02 0:00,2020-11-18 0:00,0,0,1,0,1,0
TAMIR FOUNDATION-1,Other,Facility-wide,2020-10-09 0:00,2020-10-30 0:00,0,0,2,0,2,0
THE CHILDREN'S PLACE ANNEX LOCATION,Childcare,,2020-10-18 0:00,2020-10-30 0:00,0,0,2,0,2,0
THE GLEBE CENTRE,LTCH,Facility-wide,2020-10-25 0:00,,23,4,16,0,39,4
THE GLEBE CENTRE,LTCH,Facility-wide,2020-06-14 0:00,2020-06-29 0:00,0,0,1,0,1,0
THE GLEBE PARENT'S DAYCARE - FIRST AVENUE CAMPUS,Childcare,,2020-09-18 0:00,2020-10-01 0:00,1,0,0,0,1,0
THE RAVINES,RH,Facility-wide,2020-11-27 0:00,,0,0,1,0,1,0
THE RAVINES,RH,Facility-wide,2020-10-09 0:00,2020-10-28 0:00,1,0,1,0,2,0
THE RAVINES,RH,Facility-wide,2020-11-01 0:00,2020-11-14 0:00,0,0,1,0,1,0
TIMBERWALK RETIREMENT COMMUNITY,RH,Facility-wide,2020-08-28 0:00,2020-09-11 0:00,0,0,1,0,1,0
TOH - CIVIC CAMPUS,Hospital,A FIVE B FIVE AMA,2020-04-03 0:00,2020-04-14 0:00,0,0,1,0,1,0
TOH - CIVIC CAMPUS,Hospital,A4,2020-04-26 0:00,2020-05-05 0:00,1,0,0,0,1,0
TOH - CIVIC CAMPUS,Hospital,Emergency Department,2020-04-28 0:00,2020-05-11 0:00,0,0,2,0,2,0
TOH - CIVIC CAMPUS,Hospital,ER,2020-10-02 0:00,2020-10-14 0:00,1,1,2,0,3,1
TOH - GENERAL CAMPUS,Hospital,5E,2020-11-26 0:00,,6,1,2,0,8,1
TOH - GENERAL CAMPUS,Hospital,5W BMT,2020-04-05 0:00,2020-04-28 0:00,1,1,6,0,7,1
TOH - GENERAL CAMPUS,Hospital,7 EAST,2020-05-16 0:00,2020-06-01 0:00,,,,,,
TOH - GENERAL CAMPUS,Hospital,6 NWE,2020-05-22 0:00,2020-06-09 0:00,0,0,3,0,3,0
TOH - GENERAL CAMPUS,Hospital,5N,2020-10-14 0:00,2020-11-09 0:00,5,3,1,0,6,3
TOH - GENERAL CAMPUS,Hospital,6W,2020-10-15 0:00,2020-11-11 0:00,3,1,1,0,4,1
TOH - REHAB CENTRE - SPECIAL REHAB,Hospital,WARD B,2020-11-09 0:00,2020-11-27 0:00,2,0,1,0,3,0
TOH - RIVERSIDE CAMPUS,Hospital,DIALYSIS,2020-04-21 0:00,2020-05-07 0:00,5,0,1,0,6,0
UNIVERSITY OF OTTAWA HEART INSTITUTE,Hospital,H5,2020-04-17 0:00,2020-04-28 0:00,1,1,0,0,1,1
VALLEY STREAM,RH,Facility-wide,2020-11-06 0:00,2020-11-19 0:00,0,0,1,0,1,0
Villa Marconi,LTCH,Facility-wide,2020-04-09 0:00,2020-04-23 0:00,0,0,3,0,3,0
Villa Marconi,LTCH,Facility-wide,2020-08-07 0:00,2020-08-17 0:00,0,0,1,0,1,0
Villa Marconi,LTCH,Facility-wide,2020-10-14 0:00,2020-10-23 0:00,0,0,1,0,1,0
VILLAGIA IN THE GLEBE RETIREMENT RESIDENCE,RH,Facility-wide,2020-09-23 0:00,2020-10-01 0:00,0,0,1,0,1,0
WALK OF GRACE RESIDENTIAL SERVICES - 00495,Other,Facility-wide,2020-10-10 0:00,2020-10-30 0:00,1,0,3,0,4,0
WALK OF GRACE RESIDENTIAL SERVICES - 00539,Other,Facility-wide,2020-10-17 0:00,2020-10-30 0:00,4,0,1,0,5,0
WATERFORD RETIREMENT,RH,Facility-wide,2020-04-11 0:00,2020-04-20 0:00,0,0,1,0,1,0
WATERFORD RETIREMENT,RH,Facility-wide,2020-07-27 0:00,2020-08-08 0:00,0,0,1,0,1,0
WATERFORD RETIREMENT,RH,Facility-wide,2020-11-15 0:00,2020-11-30 0:00,1,0,0,0,1,0
WATERFORD RETIREMENT COMMUNITY,RH,Facility-wide,2020-09-27 0:00,2020-10-21 0:00,1,0,3,0,4,0
Wee Watch Orleans - Home Child Care,Childcare,,2020-09-20 0:00,2020-10-07 0:00,0,0,1,0,1,0
WEE WATCH ORLEANS - HOME CHILD CARE (2),Childcare,,2020-10-04 0:00,2020-10-11 0:00,1,0,0,0,1,0
WEE WATCH WEST - HOME CHILD CARE,Childcare,,2020-09-16 0:00,2020-09-30 0:00,1,0,0,0,1,0
WELCOME HOME RESIDENCE,Other,Facility-wide,2020-09-28 0:00,2020-10-15 0:00,1,0,3,0,4,0
WELCOME HOUSE,Other,Facility-wide,2020-06-18 0:00,2020-06-28 0:00,0,0,2,0,2,0
WESTWOOD #2,RH,Facility-wide,2020-04-28 0:00,2020-06-01 0:00,6,1,3,0,9,1
WESTWOOD BUILDING 1,RH,Facility-wide,2020-09-28 0:00,2020-10-21 0:00,0,0,1,0,1,0
WILDPINE RETIREMENT HOME,RH,Facility-wide,2020-10-13 0:00,2020-10-28 0:00,1,0,0,0,1,0
WINDSOR PARK,RH,Facility-wide,2020-10-05 0:00,2020-10-20 0:00,0,0,1,0,1,0
