"date","category_grouped","outbreak_subgroup","TOTAL_CASES"
"2020-05-22","1 Congregate Care","Hospital",7
"2020-05-22","1 Congregate Care","Long-Term Care Home",72
"2020-05-22","1 Congregate Care","Retirement Home",17
"2020-05-22","2 Congregate Living","Group Home/Supportive Housing",2
"2020-05-22","2 Congregate Living","Shelter",11
"2020-05-22","4 Workplace","Retail",2
"2020-05-22","4 Workplace","Workplace - Farm",7
"2020-05-22","4 Workplace","Workplace - Food Processing",13
"2020-05-22","4 Workplace","Workplace - Other",16
"2020-05-23","1 Congregate Care","Hospital",9
"2020-05-23","1 Congregate Care","Long-Term Care Home",54
"2020-05-23","1 Congregate Care","Retirement Home",8
"2020-05-23","2 Congregate Living","Group Home/Supportive Housing",1
"2020-05-23","2 Congregate Living","Shelter",4
"2020-05-23","4 Workplace","Retail",1
"2020-05-23","4 Workplace","Workplace - Farm",2
"2020-05-23","4 Workplace","Workplace - Food Processing",18
"2020-05-23","4 Workplace","Workplace - Other",14
"2020-05-23","5 Recreational","Other recreation",1
"2020-05-24","1 Congregate Care","Hospital",6
"2020-05-24","1 Congregate Care","Long-Term Care Home",31
"2020-05-24","1 Congregate Care","Retirement Home",6
"2020-05-24","2 Congregate Living","Group Home/Supportive Housing",1
"2020-05-24","2 Congregate Living","Shelter",4
"2020-05-24","4 Workplace","Medical/Health Service",1
"2020-05-24","4 Workplace","Workplace - Farm",33
"2020-05-24","4 Workplace","Workplace - Food Processing",4
"2020-05-24","4 Workplace","Workplace - Other",8
"2020-05-24","5 Recreational","Other recreation",1
"2020-05-25","1 Congregate Care","Hospital",9
"2020-05-25","1 Congregate Care","Long-Term Care Home",39
"2020-05-25","1 Congregate Care","Retirement Home",6
"2020-05-25","2 Congregate Living","Group Home/Supportive Housing",2
"2020-05-25","2 Congregate Living","Shelter",5
"2020-05-25","4 Workplace","Retail",1
"2020-05-25","4 Workplace","Workplace - Farm",3
"2020-05-25","4 Workplace","Workplace - Food Processing",9
"2020-05-25","4 Workplace","Workplace - Other",6
"2020-05-26","1 Congregate Care","Hospital",6
"2020-05-26","1 Congregate Care","Long-Term Care Home",45
"2020-05-26","1 Congregate Care","Retirement Home",18
"2020-05-26","2 Congregate Living","Group Home/Supportive Housing",3
"2020-05-26","2 Congregate Living","Shelter",11
"2020-05-26","4 Workplace","Workplace - Food Processing",5
"2020-05-26","4 Workplace","Workplace - Other",13
"2020-05-27","1 Congregate Care","Hospital",5
"2020-05-27","1 Congregate Care","Long-Term Care Home",46
"2020-05-27","1 Congregate Care","Retirement Home",9
"2020-05-27","2 Congregate Living","Group Home/Supportive Housing",1
"2020-05-27","2 Congregate Living","Shelter",6
"2020-05-27","4 Workplace","Retail",3
"2020-05-27","4 Workplace","Workplace - Farm",7
"2020-05-27","4 Workplace","Workplace - Food Processing",6
"2020-05-27","4 Workplace","Workplace - Other",13
"2020-05-28","1 Congregate Care","Hospital",5
"2020-05-28","1 Congregate Care","Long-Term Care Home",44
"2020-05-28","1 Congregate Care","Retirement Home",5
"2020-05-28","2 Congregate Living","Group Home/Supportive Housing",4
"2020-05-28","2 Congregate Living","Shelter",3
"2020-05-28","4 Workplace","Workplace - Farm",22
"2020-05-28","4 Workplace","Workplace - Food Processing",15
"2020-05-28","4 Workplace","Workplace - Other",13
"2020-05-28","5 Recreational","Other recreation",1
"2020-05-29","1 Congregate Care","Hospital",7
"2020-05-29","1 Congregate Care","Long-Term Care Home",43
"2020-05-29","1 Congregate Care","Retirement Home",9
"2020-05-29","2 Congregate Living","Group Home/Supportive Housing",6
"2020-05-29","2 Congregate Living","Shelter",5
"2020-05-29","3 Education","Child care",1
"2020-05-29","4 Workplace","Medical/Health Service",1
"2020-05-29","4 Workplace","Retail",1
"2020-05-29","4 Workplace","Workplace - Farm",17
"2020-05-29","4 Workplace","Workplace - Food Processing",17
"2020-05-29","4 Workplace","Workplace - Other",14
"2020-05-29","5 Recreational","Other recreation",1
"2020-05-30","1 Congregate Care","Hospital",3
"2020-05-30","1 Congregate Care","Long-Term Care Home",30
"2020-05-30","1 Congregate Care","Retirement Home",9
"2020-05-30","2 Congregate Living","Shelter",5
"2020-05-30","4 Workplace","Medical/Health Service",1
"2020-05-30","4 Workplace","Workplace - Farm",14
"2020-05-30","4 Workplace","Workplace - Food Processing",15
"2020-05-30","4 Workplace","Workplace - Other",10
"2020-05-31","1 Congregate Care","Hospital",3
"2020-05-31","1 Congregate Care","Long-Term Care Home",44
"2020-05-31","2 Congregate Living","Group Home/Supportive Housing",3
"2020-05-31","2 Congregate Living","Shelter",10
"2020-05-31","4 Workplace","Retail",3
"2020-05-31","4 Workplace","Workplace - Farm",104
"2020-05-31","4 Workplace","Workplace - Food Processing",10
"2020-05-31","4 Workplace","Workplace - Other",15
"2020-06-01","1 Congregate Care","Hospital",3
"2020-06-01","1 Congregate Care","Long-Term Care Home",25
"2020-06-01","1 Congregate Care","Retirement Home",2
"2020-06-01","2 Congregate Living","Group Home/Supportive Housing",2
"2020-06-01","2 Congregate Living","Shelter",12
"2020-06-01","4 Workplace","Retail",1
"2020-06-01","4 Workplace","Workplace - Farm",100
"2020-06-01","4 Workplace","Workplace - Food Processing",5
"2020-06-01","4 Workplace","Workplace - Other",11
"2020-06-01","5 Recreational","Other recreation",1
"2020-06-02","1 Congregate Care","Hospital",3
"2020-06-02","1 Congregate Care","Long-Term Care Home",37
"2020-06-02","1 Congregate Care","Retirement Home",2
"2020-06-02","2 Congregate Living","Group Home/Supportive Housing",4
"2020-06-02","2 Congregate Living","Shelter",11
"2020-06-02","4 Workplace","Workplace - Farm",40
"2020-06-02","4 Workplace","Workplace - Food Processing",5
"2020-06-02","4 Workplace","Workplace - Other",9
"2020-06-03","1 Congregate Care","Hospital",2
"2020-06-03","1 Congregate Care","Long-Term Care Home",41
"2020-06-03","1 Congregate Care","Retirement Home",4
"2020-06-03","2 Congregate Living","Group Home/Supportive Housing",2
"2020-06-03","2 Congregate Living","Shelter",4
"2020-06-03","4 Workplace","Medical/Health Service",1
"2020-06-03","4 Workplace","Workplace - Farm",10
"2020-06-03","4 Workplace","Workplace - Food Processing",6
"2020-06-03","4 Workplace","Workplace - Other",10
"2020-06-04","1 Congregate Care","Hospital",12
"2020-06-04","1 Congregate Care","Long-Term Care Home",29
"2020-06-04","1 Congregate Care","Retirement Home",6
"2020-06-04","2 Congregate Living","Group Home/Supportive Housing",3
"2020-06-04","2 Congregate Living","Shelter",16
"2020-06-04","4 Workplace","Retail",1
"2020-06-04","4 Workplace","Workplace - Farm",1
"2020-06-04","4 Workplace","Workplace - Food Processing",3
"2020-06-04","4 Workplace","Workplace - Other",11
"2020-06-04","5 Recreational","Bar/restaurant/nightclub",1
"2020-06-05","1 Congregate Care","Hospital",1
"2020-06-05","1 Congregate Care","Long-Term Care Home",30
"2020-06-05","1 Congregate Care","Retirement Home",2
"2020-06-05","2 Congregate Living","Group Home/Supportive Housing",1
"2020-06-05","2 Congregate Living","Shelter",9
"2020-06-05","4 Workplace","Retail",1
"2020-06-05","4 Workplace","Workplace - Farm",15
"2020-06-05","4 Workplace","Workplace - Food Processing",3
"2020-06-05","4 Workplace","Workplace - Other",7
"2020-06-06","1 Congregate Care","Hospital",3
"2020-06-06","1 Congregate Care","Long-Term Care Home",21
"2020-06-06","1 Congregate Care","Retirement Home",2
"2020-06-06","2 Congregate Living","Correctional Facility",2
"2020-06-06","2 Congregate Living","Group Home/Supportive Housing",2
"2020-06-06","2 Congregate Living","Shelter",3
"2020-06-06","4 Workplace","Workplace - Farm",3
"2020-06-06","4 Workplace","Workplace - Food Processing",4
"2020-06-06","4 Workplace","Workplace - Other",7
"2020-06-07","1 Congregate Care","Hospital",1
"2020-06-07","1 Congregate Care","Long-Term Care Home",30
"2020-06-07","2 Congregate Living","Shelter",4
"2020-06-07","4 Workplace","Workplace - Farm",7
"2020-06-07","4 Workplace","Workplace - Food Processing",3
"2020-06-07","4 Workplace","Workplace - Other",8
"2020-06-08","1 Congregate Care","Long-Term Care Home",13
"2020-06-08","1 Congregate Care","Retirement Home",4
"2020-06-08","2 Congregate Living","Shelter",9
"2020-06-08","4 Workplace","Retail",2
"2020-06-08","4 Workplace","Workplace - Farm",38
"2020-06-08","4 Workplace","Workplace - Food Processing",1
"2020-06-08","4 Workplace","Workplace - Other",6
"2020-06-08","5 Recreational","Bar/restaurant/nightclub",1
"2020-06-09","1 Congregate Care","Hospital",3
"2020-06-09","1 Congregate Care","Long-Term Care Home",29
"2020-06-09","1 Congregate Care","Retirement Home",2
"2020-06-09","4 Workplace","Medical/Health Service",1
"2020-06-09","4 Workplace","Retail",1
"2020-06-09","4 Workplace","Workplace - Farm",38
"2020-06-09","4 Workplace","Workplace - Food Processing",2
"2020-06-09","4 Workplace","Workplace - Other",9
"2020-06-09","5 Recreational","Other recreation",1
"2020-06-10","1 Congregate Care","Long-Term Care Home",24
"2020-06-10","2 Congregate Living","Group Home/Supportive Housing",1
"2020-06-10","2 Congregate Living","Shelter",3
"2020-06-10","4 Workplace","Retail",2
"2020-06-10","4 Workplace","Workplace - Farm",13
"2020-06-10","4 Workplace","Workplace - Food Processing",1
"2020-06-10","4 Workplace","Workplace - Other",9
"2020-06-10","5 Recreational","Bar/restaurant/nightclub",1
"2020-06-11","1 Congregate Care","Hospital",3
"2020-06-11","1 Congregate Care","Long-Term Care Home",15
"2020-06-11","4 Workplace","Medical/Health Service",2
"2020-06-11","4 Workplace","Retail",1
"2020-06-11","4 Workplace","Workplace - Farm",9
"2020-06-11","4 Workplace","Workplace - Other",1
"2020-06-11","5 Recreational","Bar/restaurant/nightclub",3
"2020-06-12","1 Congregate Care","Long-Term Care Home",11
"2020-06-12","2 Congregate Living","Shelter",7
"2020-06-12","4 Workplace","Retail",3
"2020-06-12","4 Workplace","Workplace - Farm",41
"2020-06-12","4 Workplace","Workplace - Food Processing",3
"2020-06-12","4 Workplace","Workplace - Other",5
"2020-06-12","5 Recreational","Bar/restaurant/nightclub",1
"2020-06-13","1 Congregate Care","Hospital",1
"2020-06-13","1 Congregate Care","Long-Term Care Home",23
"2020-06-13","1 Congregate Care","Retirement Home",2
"2020-06-13","2 Congregate Living","Group Home/Supportive Housing",1
"2020-06-13","2 Congregate Living","Shelter",5
"2020-06-13","4 Workplace","Retail",1
"2020-06-13","4 Workplace","Workplace - Farm",9
"2020-06-13","4 Workplace","Workplace - Food Processing",2
"2020-06-13","4 Workplace","Workplace - Other",6
"2020-06-14","1 Congregate Care","Long-Term Care Home",14
"2020-06-14","1 Congregate Care","Retirement Home",1
"2020-06-14","4 Workplace","Workplace - Farm",9
"2020-06-14","4 Workplace","Workplace - Food Processing",3
"2020-06-14","4 Workplace","Workplace - Other",2
"2020-06-15","1 Congregate Care","Long-Term Care Home",13
"2020-06-15","1 Congregate Care","Retirement Home",2
"2020-06-15","2 Congregate Living","Shelter",1
"2020-06-15","3 Education","Child care",1
"2020-06-15","4 Workplace","Workplace - Farm",15
"2020-06-15","4 Workplace","Workplace - Food Processing",1
"2020-06-15","4 Workplace","Workplace - Other",3
"2020-06-15","5 Recreational","Bar/restaurant/nightclub",1
"2020-06-16","1 Congregate Care","Hospital",2
"2020-06-16","1 Congregate Care","Long-Term Care Home",18
"2020-06-16","2 Congregate Living","Congregate other",1
"2020-06-16","2 Congregate Living","Group Home/Supportive Housing",2
"2020-06-16","4 Workplace","Workplace - Farm",7
"2020-06-16","4 Workplace","Workplace - Food Processing",1
"2020-06-16","4 Workplace","Workplace - Other",3
"2020-06-17","1 Congregate Care","Hospital",2
"2020-06-17","1 Congregate Care","Long-Term Care Home",35
"2020-06-17","2 Congregate Living","Congregate other",1
"2020-06-17","2 Congregate Living","Group Home/Supportive Housing",1
"2020-06-17","4 Workplace","Medical/Health Service",1
"2020-06-17","4 Workplace","Workplace - Farm",8
"2020-06-17","4 Workplace","Workplace - Food Processing",1
"2020-06-17","4 Workplace","Workplace - Other",6
"2020-06-18","1 Congregate Care","Hospital",2
"2020-06-18","1 Congregate Care","Long-Term Care Home",22
"2020-06-18","1 Congregate Care","Retirement Home",1
"2020-06-18","4 Workplace","Retail",2
"2020-06-18","4 Workplace","Workplace - Farm",17
"2020-06-18","4 Workplace","Workplace - Food Processing",12
"2020-06-18","4 Workplace","Workplace - Other",4
"2020-06-19","1 Congregate Care","Hospital",1
"2020-06-19","1 Congregate Care","Long-Term Care Home",15
"2020-06-19","1 Congregate Care","Retirement Home",1
"2020-06-19","2 Congregate Living","Group Home/Supportive Housing",3
"2020-06-19","2 Congregate Living","Shelter",2
"2020-06-19","4 Workplace","Retail",1
"2020-06-19","4 Workplace","Workplace - Farm",33
"2020-06-19","4 Workplace","Workplace - Food Processing",2
"2020-06-19","4 Workplace","Workplace - Other",1
"2020-06-20","1 Congregate Care","Hospital",1
"2020-06-20","1 Congregate Care","Long-Term Care Home",23
"2020-06-20","4 Workplace","Workplace - Farm",3
"2020-06-20","4 Workplace","Workplace - Food Processing",1
"2020-06-20","4 Workplace","Workplace - Other",5
"2020-06-20","5 Recreational","Personal service settings",1
"2020-06-21","1 Congregate Care","Hospital",7
"2020-06-21","1 Congregate Care","Long-Term Care Home",20
"2020-06-21","1 Congregate Care","Retirement Home",1
"2020-06-21","4 Workplace","Workplace - Farm",30
"2020-06-21","4 Workplace","Workplace - Food Processing",1
"2020-06-21","4 Workplace","Workplace - Other",5
"2020-06-22","1 Congregate Care","Long-Term Care Home",17
"2020-06-22","2 Congregate Living","Group Home/Supportive Housing",1
"2020-06-22","4 Workplace","Workplace - Farm",30
"2020-06-22","4 Workplace","Workplace - Food Processing",2
"2020-06-22","4 Workplace","Workplace - Other",4
"2020-06-22","5 Recreational","Other recreation",1
"2020-06-23","1 Congregate Care","Hospital",2
"2020-06-23","1 Congregate Care","Long-Term Care Home",7
"2020-06-23","4 Workplace","Workplace - Farm",2
"2020-06-23","4 Workplace","Workplace - Food Processing",7
"2020-06-23","4 Workplace","Workplace - Other",1
"2020-06-23","5 Recreational","Bar/restaurant/nightclub",1
"2020-06-23","5 Recreational","Personal service settings",1
"2020-06-24","1 Congregate Care","Hospital",2
"2020-06-24","1 Congregate Care","Long-Term Care Home",20
"2020-06-24","4 Workplace","Workplace - Farm",1
"2020-06-24","4 Workplace","Workplace - Other",3
"2020-06-24","5 Recreational","Personal service settings",1
"2020-06-25","1 Congregate Care","Hospital",2
"2020-06-25","1 Congregate Care","Long-Term Care Home",11
"2020-06-25","4 Workplace","Workplace - Farm",2
"2020-06-25","4 Workplace","Workplace - Other",4
"2020-06-25","5 Recreational","Personal service settings",5
"2020-06-26","1 Congregate Care","Hospital",1
"2020-06-26","1 Congregate Care","Long-Term Care Home",16
"2020-06-26","2 Congregate Living","Group Home/Supportive Housing",1
"2020-06-26","2 Congregate Living","Shelter",1
"2020-06-26","4 Workplace","Medical/Health Service",1
"2020-06-26","4 Workplace","Workplace - Farm",12
"2020-06-26","4 Workplace","Workplace - Food Processing",2
"2020-06-26","4 Workplace","Workplace - Other",4
"2020-06-27","1 Congregate Care","Hospital",2
"2020-06-27","1 Congregate Care","Long-Term Care Home",8
"2020-06-27","4 Workplace","Workplace - Farm",95
"2020-06-27","4 Workplace","Workplace - Food Processing",4
"2020-06-27","4 Workplace","Workplace - Other",2
"2020-06-27","5 Recreational","Personal service settings",4
"2020-06-28","1 Congregate Care","Hospital",1
"2020-06-28","1 Congregate Care","Long-Term Care Home",9
"2020-06-28","4 Workplace","Workplace - Farm",87
"2020-06-28","4 Workplace","Workplace - Other",4
"2020-06-28","5 Recreational","Personal service settings",1
"2020-06-29","1 Congregate Care","Hospital",1
"2020-06-29","1 Congregate Care","Long-Term Care Home",3
"2020-06-29","1 Congregate Care","Retirement Home",3
"2020-06-29","2 Congregate Living","Shelter",1
"2020-06-29","4 Workplace","Workplace - Farm",3
"2020-06-29","5 Recreational","Personal service settings",2
"2020-06-30","1 Congregate Care","Hospital",2
"2020-06-30","1 Congregate Care","Long-Term Care Home",10
"2020-06-30","4 Workplace","Workplace - Farm",7
"2020-06-30","4 Workplace","Workplace - Other",4
"2020-07-01","1 Congregate Care","Hospital",1
"2020-07-01","1 Congregate Care","Long-Term Care Home",23
"2020-07-01","2 Congregate Living","Group Home/Supportive Housing",1
"2020-07-01","2 Congregate Living","Shelter",1
"2020-07-01","4 Workplace","Retail",1
"2020-07-01","4 Workplace","Workplace - Farm",2
"2020-07-01","4 Workplace","Workplace - Food Processing",1
"2020-07-01","5 Recreational","Personal service settings",1
"2020-07-02","1 Congregate Care","Hospital",1
"2020-07-02","1 Congregate Care","Long-Term Care Home",11
"2020-07-02","1 Congregate Care","Retirement Home",1
"2020-07-02","2 Congregate Living","Group Home/Supportive Housing",1
"2020-07-02","4 Workplace","Workplace - Farm",18
"2020-07-02","4 Workplace","Workplace - Food Processing",1
"2020-07-02","4 Workplace","Workplace - Other",3
"2020-07-03","1 Congregate Care","Hospital",1
"2020-07-03","1 Congregate Care","Long-Term Care Home",2
"2020-07-03","1 Congregate Care","Retirement Home",1
"2020-07-03","4 Workplace","Medical/Health Service",1
"2020-07-03","4 Workplace","Workplace - Farm",11
"2020-07-03","4 Workplace","Workplace - Other",1
"2020-07-04","1 Congregate Care","Long-Term Care Home",6
"2020-07-04","1 Congregate Care","Retirement Home",1
"2020-07-04","4 Workplace","Workplace - Farm",5
"2020-07-04","4 Workplace","Workplace - Other",1
"2020-07-05","1 Congregate Care","Hospital",2
"2020-07-05","1 Congregate Care","Retirement Home",1
"2020-07-05","2 Congregate Living","Shelter",1
"2020-07-05","4 Workplace","Medical/Health Service",1
"2020-07-05","4 Workplace","Workplace - Other",1
"2020-07-06","1 Congregate Care","Long-Term Care Home",2
"2020-07-06","1 Congregate Care","Retirement Home",1
"2020-07-06","4 Workplace","Medical/Health Service",2
"2020-07-06","4 Workplace","Workplace - Food Processing",1
"2020-07-06","4 Workplace","Workplace - Other",6
"2020-07-07","1 Congregate Care","Long-Term Care Home",21
"2020-07-07","4 Workplace","Workplace - Farm",20
"2020-07-07","4 Workplace","Workplace - Other",3
"2020-07-08","1 Congregate Care","Hospital",3
"2020-07-08","1 Congregate Care","Long-Term Care Home",4
"2020-07-08","2 Congregate Living","Group Home/Supportive Housing",1
"2020-07-08","4 Workplace","Medical/Health Service",1
"2020-07-08","4 Workplace","Workplace - Farm",31
"2020-07-08","4 Workplace","Workplace - Other",6
"2020-07-08","5 Recreational","Bar/restaurant/nightclub",1
"2020-07-09","1 Congregate Care","Hospital",1
"2020-07-09","1 Congregate Care","Long-Term Care Home",9
"2020-07-09","1 Congregate Care","Retirement Home",2
"2020-07-09","2 Congregate Living","Shelter",1
"2020-07-09","4 Workplace","Medical/Health Service",1
"2020-07-09","4 Workplace","Workplace - Farm",2
"2020-07-09","4 Workplace","Workplace - Food Processing",1
"2020-07-09","4 Workplace","Workplace - Other",8
"2020-07-10","1 Congregate Care","Long-Term Care Home",4
"2020-07-10","1 Congregate Care","Retirement Home",1
"2020-07-10","4 Workplace","Retail",1
"2020-07-10","4 Workplace","Workplace - Farm",2
"2020-07-10","4 Workplace","Workplace - Food Processing",1
"2020-07-10","4 Workplace","Workplace - Other",3
"2020-07-11","1 Congregate Care","Hospital",3
"2020-07-11","1 Congregate Care","Long-Term Care Home",8
"2020-07-11","1 Congregate Care","Retirement Home",1
"2020-07-11","2 Congregate Living","Short-term accommodations",1
"2020-07-11","4 Workplace","Workplace - Farm",6
"2020-07-11","4 Workplace","Workplace - Other",3
"2020-07-11","5 Recreational","Bar/restaurant/nightclub",2
"2020-07-12","1 Congregate Care","Long-Term Care Home",2
"2020-07-12","1 Congregate Care","Retirement Home",1
"2020-07-12","4 Workplace","Retail",1
"2020-07-12","4 Workplace","Workplace - Farm",9
"2020-07-12","4 Workplace","Workplace - Other",3
"2020-07-12","5 Recreational","Bar/restaurant/nightclub",1
"2020-07-13","1 Congregate Care","Hospital",1
"2020-07-13","1 Congregate Care","Long-Term Care Home",6
"2020-07-13","4 Workplace","Retail",2
"2020-07-13","4 Workplace","Workplace - Farm",5
"2020-07-13","4 Workplace","Workplace - Other",2
"2020-07-13","6 Other/Unknown","Unknown",1
"2020-07-14","1 Congregate Care","Hospital",1
"2020-07-14","1 Congregate Care","Long-Term Care Home",3
"2020-07-14","2 Congregate Living","Group Home/Supportive Housing",1
"2020-07-14","2 Congregate Living","Shelter",1
"2020-07-14","4 Workplace","Retail",2
"2020-07-14","4 Workplace","Workplace - Farm",4
"2020-07-14","4 Workplace","Workplace - Food Processing",1
"2020-07-14","4 Workplace","Workplace - Other",6
"2020-07-15","1 Congregate Care","Hospital",3
"2020-07-15","1 Congregate Care","Long-Term Care Home",1
"2020-07-15","2 Congregate Living","Shelter",1
"2020-07-15","4 Workplace","Retail",4
"2020-07-15","4 Workplace","Workplace - Farm",10
"2020-07-15","4 Workplace","Workplace - Other",5
"2020-07-16","1 Congregate Care","Hospital",2
"2020-07-16","1 Congregate Care","Long-Term Care Home",4
"2020-07-16","1 Congregate Care","Retirement Home",8
"2020-07-16","4 Workplace","Workplace - Farm",6
"2020-07-16","4 Workplace","Workplace - Other",5
"2020-07-17","1 Congregate Care","Hospital",1
"2020-07-17","1 Congregate Care","Long-Term Care Home",7
"2020-07-17","1 Congregate Care","Retirement Home",2
"2020-07-17","4 Workplace","Workplace - Farm",13
"2020-07-17","4 Workplace","Workplace - Other",4
"2020-07-17","6 Other/Unknown","Unknown",3
"2020-07-18","1 Congregate Care","Hospital",2
"2020-07-18","2 Congregate Living","Group Home/Supportive Housing",1
"2020-07-18","4 Workplace","Retail",1
"2020-07-18","4 Workplace","Workplace - Farm",9
"2020-07-18","4 Workplace","Workplace - Other",19
"2020-07-18","6 Other/Unknown","Unknown",1
"2020-07-19","1 Congregate Care","Long-Term Care Home",3
"2020-07-19","1 Congregate Care","Retirement Home",1
"2020-07-19","4 Workplace","Workplace - Farm",3
"2020-07-19","4 Workplace","Workplace - Other",7
"2020-07-20","1 Congregate Care","Long-Term Care Home",4
"2020-07-20","1 Congregate Care","Retirement Home",2
"2020-07-20","2 Congregate Living","Group Home/Supportive Housing",1
"2020-07-20","3 Education","Child care",5
"2020-07-20","4 Workplace","Workplace - Farm",10
"2020-07-20","4 Workplace","Workplace - Other",6
"2020-07-20","6 Other/Unknown","Unknown",2
"2020-07-21","3 Education","Child care",1
"2020-07-21","4 Workplace","Workplace - Farm",5
"2020-07-21","4 Workplace","Workplace - Other",7
"2020-07-21","5 Recreational","Other recreation",1
"2020-07-22","1 Congregate Care","Long-Term Care Home",1
"2020-07-22","1 Congregate Care","Retirement Home",2
"2020-07-22","4 Workplace","Workplace - Farm",7
"2020-07-22","4 Workplace","Workplace - Other",4
"2020-07-22","6 Other/Unknown","Unknown",1
"2020-07-23","1 Congregate Care","Hospital",1
"2020-07-23","1 Congregate Care","Long-Term Care Home",4
"2020-07-23","1 Congregate Care","Retirement Home",2
"2020-07-23","3 Education","Child care",2
"2020-07-23","4 Workplace","Workplace - Farm",23
"2020-07-23","4 Workplace","Workplace - Other",5
"2020-07-23","5 Recreational","Other recreation",1
"2020-07-23","6 Other/Unknown","Unknown",2
"2020-07-24","1 Congregate Care","Long-Term Care Home",3
"2020-07-24","3 Education","Child care",5
"2020-07-24","4 Workplace","Workplace - Farm",10
"2020-07-24","4 Workplace","Workplace - Other",2
"2020-07-24","5 Recreational","Other recreation",3
"2020-07-24","6 Other/Unknown","Unknown",1
"2020-07-25","1 Congregate Care","Hospital",1
"2020-07-25","1 Congregate Care","Long-Term Care Home",1
"2020-07-25","1 Congregate Care","Retirement Home",2
"2020-07-25","4 Workplace","Workplace - Farm",9
"2020-07-25","4 Workplace","Workplace - Other",2
"2020-07-25","6 Other/Unknown","Unknown",1
"2020-07-26","1 Congregate Care","Long-Term Care Home",2
"2020-07-26","3 Education","Child care",1
"2020-07-26","4 Workplace","Workplace - Farm",21
"2020-07-26","4 Workplace","Workplace - Other",4
"2020-07-26","5 Recreational","Other recreation",1
"2020-07-26","6 Other/Unknown","Unknown",3
"2020-07-27","1 Congregate Care","Hospital",1
"2020-07-27","1 Congregate Care","Long-Term Care Home",2
"2020-07-27","1 Congregate Care","Retirement Home",3
"2020-07-27","2 Congregate Living","Group Home/Supportive Housing",1
"2020-07-27","3 Education","Child care",1
"2020-07-27","4 Workplace","Workplace - Farm",11
"2020-07-27","4 Workplace","Workplace - Other",6
"2020-07-27","6 Other/Unknown","Unknown",4
"2020-07-28","1 Congregate Care","Long-Term Care Home",2
"2020-07-28","3 Education","Child care",1
"2020-07-28","4 Workplace","Workplace - Farm",11
"2020-07-28","4 Workplace","Workplace - Other",7
"2020-07-29","1 Congregate Care","Long-Term Care Home",2
"2020-07-29","4 Workplace","Workplace - Farm",2
"2020-07-29","4 Workplace","Workplace - Food Processing",3
"2020-07-29","4 Workplace","Workplace - Other",2
"2020-07-29","5 Recreational","Other recreation",1
"2020-07-30","1 Congregate Care","Long-Term Care Home",2
"2020-07-30","4 Workplace","Workplace - Farm",7
"2020-07-30","4 Workplace","Workplace - Food Processing",1
"2020-07-30","4 Workplace","Workplace - Other",3
"2020-07-30","5 Recreational","Other recreation",2
"2020-07-30","6 Other/Unknown","Unknown",2
"2020-07-31","1 Congregate Care","Hospital",1
"2020-07-31","1 Congregate Care","Retirement Home",1
"2020-07-31","2 Congregate Living","Shelter",1
"2020-07-31","4 Workplace","Workplace - Food Processing",1
"2020-07-31","4 Workplace","Workplace - Other",5
"2020-08-01","1 Congregate Care","Long-Term Care Home",1
"2020-08-01","2 Congregate Living","Group Home/Supportive Housing",1
"2020-08-01","2 Congregate Living","Shelter",1
"2020-08-01","3 Education","Child care",1
"2020-08-01","4 Workplace","Workplace - Farm",1
"2020-08-01","4 Workplace","Workplace - Other",1
"2020-08-02","1 Congregate Care","Long-Term Care Home",2
"2020-08-02","4 Workplace","Workplace - Farm",1
"2020-08-02","4 Workplace","Workplace - Food Processing",2
"2020-08-02","5 Recreational","Other recreation",2
"2020-08-03","1 Congregate Care","Long-Term Care Home",2
"2020-08-03","1 Congregate Care","Retirement Home",1
"2020-08-03","2 Congregate Living","Group Home/Supportive Housing",3
"2020-08-03","4 Workplace","Workplace - Farm",5
"2020-08-03","4 Workplace","Workplace - Other",1
"2020-08-04","1 Congregate Care","Long-Term Care Home",1
"2020-08-04","1 Congregate Care","Retirement Home",1
"2020-08-04","2 Congregate Living","Group Home/Supportive Housing",2
"2020-08-04","2 Congregate Living","Shelter",1
"2020-08-04","4 Workplace","Workplace - Farm",1
"2020-08-04","4 Workplace","Workplace - Other",1
"2020-08-04","5 Recreational","Other recreation",4
"2020-08-05","1 Congregate Care","Hospital",1
"2020-08-05","2 Congregate Living","Shelter",1
"2020-08-05","4 Workplace","Workplace - Food Processing",2
"2020-08-05","4 Workplace","Workplace - Other",2
"2020-08-06","1 Congregate Care","Hospital",1
"2020-08-06","1 Congregate Care","Long-Term Care Home",4
"2020-08-06","2 Congregate Living","Correctional Facility",1
"2020-08-06","2 Congregate Living","Shelter",1
"2020-08-06","4 Workplace","Workplace - Farm",2
"2020-08-06","4 Workplace","Workplace - Food Processing",1
"2020-08-06","4 Workplace","Workplace - Other",2
"2020-08-07","1 Congregate Care","Long-Term Care Home",1
"2020-08-07","4 Workplace","Workplace - Other",1
"2020-08-07","6 Other/Unknown","Unknown",1
"2020-08-08","1 Congregate Care","Hospital",1
"2020-08-08","1 Congregate Care","Long-Term Care Home",1
"2020-08-08","4 Workplace","Workplace - Farm",2
"2020-08-08","4 Workplace","Workplace - Other",2
"2020-08-08","5 Recreational","Other recreation",2
"2020-08-09","1 Congregate Care","Retirement Home",1
"2020-08-09","2 Congregate Living","Shelter",2
"2020-08-09","4 Workplace","Workplace - Farm",2
