date,category_grouped,outbreak_subgroup,TOTAL_CASES
05/24/2020,2 Congregate Living,Group Home/Supportive Housing,1
05/24/2020,2 Congregate Living,Shelter,4
05/24/2020,4 Workplace,Medical/Health Service,1
05/24/2020,4 Workplace,Workplace - Farm,33
05/24/2020,4 Workplace,Workplace - Food Processing,4
05/24/2020,4 Workplace,Workplace - Other,8
05/24/2020,5 Recreational,Other recreation,1
05/25/2020,1 Congregate Care,Hospital,9
05/25/2020,1 Congregate Care,Long-Term Care Home,38
05/25/2020,1 Congregate Care,Retirement Home,6
05/25/2020,2 Congregate Living,Group Home/Supportive Housing,2
05/25/2020,2 Congregate Living,Shelter,5
05/25/2020,4 Workplace,Retail,1
05/25/2020,4 Workplace,Workplace - Farm,3
05/25/2020,4 Workplace,Workplace - Food Processing,9
05/25/2020,4 Workplace,Workplace - Other,6
05/26/2020,1 Congregate Care,Hospital,6
05/26/2020,1 Congregate Care,Long-Term Care Home,45
05/26/2020,1 Congregate Care,Retirement Home,18
05/26/2020,2 Congregate Living,Group Home/Supportive Housing,3
05/26/2020,2 Congregate Living,Shelter,11
05/26/2020,4 Workplace,Workplace - Food Processing,5
05/26/2020,4 Workplace,Workplace - Other,13
05/27/2020,1 Congregate Care,Hospital,5
05/27/2020,1 Congregate Care,Long-Term Care Home,46
05/27/2020,1 Congregate Care,Retirement Home,9
05/27/2020,2 Congregate Living,Group Home/Supportive Housing,1
05/27/2020,2 Congregate Living,Shelter,6
05/27/2020,4 Workplace,Retail,3
05/27/2020,4 Workplace,Workplace - Farm,7
05/27/2020,4 Workplace,Workplace - Food Processing,6
05/27/2020,4 Workplace,Workplace - Other,13
05/28/2020,1 Congregate Care,Hospital,5
05/28/2020,1 Congregate Care,Long-Term Care Home,44
05/28/2020,1 Congregate Care,Retirement Home,6
05/28/2020,2 Congregate Living,Group Home/Supportive Housing,4
05/28/2020,2 Congregate Living,Shelter,3
05/28/2020,4 Workplace,Workplace - Farm,22
05/28/2020,4 Workplace,Workplace - Food Processing,15
05/28/2020,4 Workplace,Workplace - Other,13
05/28/2020,5 Recreational,Other recreation,1
05/29/2020,1 Congregate Care,Hospital,7
05/29/2020,1 Congregate Care,Long-Term Care Home,43
05/29/2020,1 Congregate Care,Retirement Home,7
05/29/2020,2 Congregate Living,Group Home/Supportive Housing,6
05/29/2020,2 Congregate Living,Shelter,5
05/29/2020,3 Education,Child care,1
05/29/2020,4 Workplace,Medical/Health Service,1
05/29/2020,4 Workplace,Retail,1
05/29/2020,4 Workplace,Workplace - Farm,17
05/29/2020,4 Workplace,Workplace - Food Processing,17
05/29/2020,4 Workplace,Workplace - Other,14
05/29/2020,5 Recreational,Other recreation,1
05/30/2020,1 Congregate Care,Hospital,3
05/30/2020,1 Congregate Care,Long-Term Care Home,30
05/30/2020,1 Congregate Care,Retirement Home,9
05/30/2020,2 Congregate Living,Shelter,5
05/30/2020,4 Workplace,Medical/Health Service,1
05/30/2020,4 Workplace,Workplace - Farm,14
05/30/2020,4 Workplace,Workplace - Food Processing,15
05/30/2020,4 Workplace,Workplace - Other,10
05/31/2020,1 Congregate Care,Hospital,3
05/31/2020,1 Congregate Care,Long-Term Care Home,44
05/31/2020,2 Congregate Living,Group Home/Supportive Housing,3
05/31/2020,2 Congregate Living,Shelter,10
05/31/2020,4 Workplace,Retail,3
05/31/2020,4 Workplace,Workplace - Farm,104
05/31/2020,4 Workplace,Workplace - Food Processing,10
05/31/2020,4 Workplace,Workplace - Other,15
06/01/2020,1 Congregate Care,Hospital,3
06/01/2020,1 Congregate Care,Long-Term Care Home,25
06/01/2020,1 Congregate Care,Retirement Home,2
06/01/2020,2 Congregate Living,Group Home/Supportive Housing,2
06/01/2020,2 Congregate Living,Shelter,12
06/01/2020,4 Workplace,Retail,1
06/01/2020,4 Workplace,Workplace - Farm,100
06/01/2020,4 Workplace,Workplace - Food Processing,5
06/01/2020,4 Workplace,Workplace - Other,11
06/01/2020,5 Recreational,Other recreation,1
06/02/2020,1 Congregate Care,Hospital,3
06/02/2020,1 Congregate Care,Long-Term Care Home,37
06/02/2020,1 Congregate Care,Retirement Home,2
06/02/2020,2 Congregate Living,Group Home/Supportive Housing,4
06/02/2020,2 Congregate Living,Shelter,11
06/02/2020,4 Workplace,Workplace - Farm,40
06/02/2020,4 Workplace,Workplace - Food Processing,5
06/02/2020,4 Workplace,Workplace - Other,9
06/03/2020,1 Congregate Care,Hospital,2
06/03/2020,1 Congregate Care,Long-Term Care Home,41
06/03/2020,1 Congregate Care,Retirement Home,4
06/03/2020,2 Congregate Living,Group Home/Supportive Housing,2
06/03/2020,2 Congregate Living,Shelter,4
06/03/2020,4 Workplace,Medical/Health Service,1
06/03/2020,4 Workplace,Workplace - Farm,10
06/03/2020,4 Workplace,Workplace - Food Processing,6
06/03/2020,4 Workplace,Workplace - Other,10
06/04/2020,1 Congregate Care,Hospital,12
06/04/2020,1 Congregate Care,Long-Term Care Home,29
06/04/2020,1 Congregate Care,Retirement Home,6
06/04/2020,2 Congregate Living,Group Home/Supportive Housing,3
06/04/2020,2 Congregate Living,Shelter,16
06/04/2020,4 Workplace,Retail,1
06/04/2020,4 Workplace,Workplace - Farm,1
06/04/2020,4 Workplace,Workplace - Food Processing,3
06/04/2020,4 Workplace,Workplace - Other,11
06/04/2020,5 Recreational,Bar/restaurant/nightclub,1
06/05/2020,1 Congregate Care,Hospital,1
06/05/2020,1 Congregate Care,Long-Term Care Home,30
06/05/2020,1 Congregate Care,Retirement Home,2
06/05/2020,2 Congregate Living,Group Home/Supportive Housing,1
06/05/2020,2 Congregate Living,Shelter,9
06/05/2020,4 Workplace,Retail,1
06/05/2020,4 Workplace,Workplace - Farm,15
06/05/2020,4 Workplace,Workplace - Food Processing,3
06/05/2020,4 Workplace,Workplace - Other,7
06/06/2020,1 Congregate Care,Hospital,3
06/06/2020,1 Congregate Care,Long-Term Care Home,21
06/06/2020,1 Congregate Care,Retirement Home,2
06/06/2020,2 Congregate Living,Correctional Facility,2
06/06/2020,2 Congregate Living,Group Home/Supportive Housing,2
06/06/2020,2 Congregate Living,Shelter,3
06/06/2020,4 Workplace,Workplace - Farm,3
06/06/2020,4 Workplace,Workplace - Food Processing,4
06/06/2020,4 Workplace,Workplace - Other,7
06/07/2020,1 Congregate Care,Hospital,1
06/07/2020,1 Congregate Care,Long-Term Care Home,30
06/07/2020,2 Congregate Living,Shelter,4
06/07/2020,4 Workplace,Workplace - Farm,7
06/07/2020,4 Workplace,Workplace - Food Processing,3
06/07/2020,4 Workplace,Workplace - Other,8
06/08/2020,1 Congregate Care,Long-Term Care Home,13
06/08/2020,1 Congregate Care,Retirement Home,4
06/08/2020,2 Congregate Living,Shelter,9
06/08/2020,4 Workplace,Retail,2
06/08/2020,4 Workplace,Workplace - Farm,38
06/08/2020,4 Workplace,Workplace - Food Processing,1
06/08/2020,4 Workplace,Workplace - Other,6
06/08/2020,5 Recreational,Bar/restaurant/nightclub,1
06/09/2020,1 Congregate Care,Hospital,3
06/09/2020,1 Congregate Care,Long-Term Care Home,28
06/09/2020,1 Congregate Care,Retirement Home,2
06/09/2020,4 Workplace,Medical/Health Service,1
06/09/2020,4 Workplace,Retail,1
06/09/2020,4 Workplace,Workplace - Farm,38
06/09/2020,4 Workplace,Workplace - Food Processing,2
06/09/2020,4 Workplace,Workplace - Other,9
06/09/2020,5 Recreational,Other recreation,1
06/10/2020,1 Congregate Care,Long-Term Care Home,24
06/10/2020,2 Congregate Living,Group Home/Supportive Housing,1
06/10/2020,2 Congregate Living,Shelter,3
06/10/2020,4 Workplace,Retail,2
06/10/2020,4 Workplace,Workplace - Farm,13
06/10/2020,4 Workplace,Workplace - Food Processing,1
06/10/2020,4 Workplace,Workplace - Other,9
06/10/2020,5 Recreational,Bar/restaurant/nightclub,1
06/11/2020,1 Congregate Care,Hospital,3
06/11/2020,1 Congregate Care,Long-Term Care Home,15
06/11/2020,4 Workplace,Medical/Health Service,2
06/11/2020,4 Workplace,Retail,1
06/11/2020,4 Workplace,Workplace - Farm,9
06/11/2020,4 Workplace,Workplace - Other,1
06/11/2020,5 Recreational,Bar/restaurant/nightclub,3
06/12/2020,1 Congregate Care,Long-Term Care Home,11
06/12/2020,2 Congregate Living,Shelter,7
06/12/2020,4 Workplace,Retail,3
06/12/2020,4 Workplace,Workplace - Farm,41
06/12/2020,4 Workplace,Workplace - Food Processing,3
06/12/2020,4 Workplace,Workplace - Other,5
06/12/2020,5 Recreational,Bar/restaurant/nightclub,1
06/13/2020,1 Congregate Care,Hospital,1
06/13/2020,1 Congregate Care,Long-Term Care Home,23
06/13/2020,1 Congregate Care,Retirement Home,2
06/13/2020,2 Congregate Living,Group Home/Supportive Housing,1
06/13/2020,2 Congregate Living,Shelter,5
06/13/2020,4 Workplace,Retail,1
06/13/2020,4 Workplace,Workplace - Farm,9
06/13/2020,4 Workplace,Workplace - Food Processing,2
06/13/2020,4 Workplace,Workplace - Other,6
06/14/2020,1 Congregate Care,Long-Term Care Home,14
06/14/2020,1 Congregate Care,Retirement Home,1
06/14/2020,4 Workplace,Workplace - Farm,9
06/14/2020,4 Workplace,Workplace - Food Processing,3
06/14/2020,4 Workplace,Workplace - Other,2
06/15/2020,1 Congregate Care,Long-Term Care Home,13
06/15/2020,1 Congregate Care,Retirement Home,2
06/15/2020,2 Congregate Living,Shelter,1
06/15/2020,3 Education,Child care,1
06/15/2020,4 Workplace,Workplace - Farm,15
06/15/2020,4 Workplace,Workplace - Food Processing,1
06/15/2020,4 Workplace,Workplace - Other,3
06/15/2020,5 Recreational,Bar/restaurant/nightclub,1
06/16/2020,1 Congregate Care,Hospital,2
06/16/2020,1 Congregate Care,Long-Term Care Home,18
06/16/2020,2 Congregate Living,Congregate other,1
06/16/2020,2 Congregate Living,Group Home/Supportive Housing,2
06/16/2020,4 Workplace,Workplace - Farm,7
06/16/2020,4 Workplace,Workplace - Food Processing,1
06/16/2020,4 Workplace,Workplace - Other,3
06/17/2020,1 Congregate Care,Hospital,2
06/17/2020,1 Congregate Care,Long-Term Care Home,35
06/17/2020,2 Congregate Living,Congregate other,1
06/17/2020,2 Congregate Living,Group Home/Supportive Housing,1
06/17/2020,4 Workplace,Medical/Health Service,1
06/17/2020,4 Workplace,Workplace - Farm,8
06/17/2020,4 Workplace,Workplace - Food Processing,1
06/17/2020,4 Workplace,Workplace - Other,6
06/18/2020,1 Congregate Care,Hospital,2
06/18/2020,1 Congregate Care,Long-Term Care Home,22
06/18/2020,1 Congregate Care,Retirement Home,1
06/18/2020,4 Workplace,Retail,2
06/18/2020,4 Workplace,Workplace - Farm,17
06/18/2020,4 Workplace,Workplace - Food Processing,12
06/18/2020,4 Workplace,Workplace - Other,4
06/19/2020,1 Congregate Care,Hospital,1
06/19/2020,1 Congregate Care,Long-Term Care Home,15
06/19/2020,1 Congregate Care,Retirement Home,1
06/19/2020,2 Congregate Living,Group Home/Supportive Housing,3
06/19/2020,2 Congregate Living,Shelter,2
06/19/2020,4 Workplace,Retail,1
06/19/2020,4 Workplace,Workplace - Farm,33
06/19/2020,4 Workplace,Workplace - Food Processing,2
06/19/2020,4 Workplace,Workplace - Other,1
06/20/2020,1 Congregate Care,Hospital,1
06/20/2020,1 Congregate Care,Long-Term Care Home,23
06/20/2020,4 Workplace,Workplace - Farm,3
06/20/2020,4 Workplace,Workplace - Food Processing,1
06/20/2020,4 Workplace,Workplace - Other,5
06/20/2020,5 Recreational,Personal service settings,1
06/21/2020,1 Congregate Care,Hospital,7
06/21/2020,1 Congregate Care,Long-Term Care Home,20
06/21/2020,1 Congregate Care,Retirement Home,1
06/21/2020,4 Workplace,Workplace - Farm,30
06/21/2020,4 Workplace,Workplace - Food Processing,1
06/21/2020,4 Workplace,Workplace - Other,5
06/22/2020,1 Congregate Care,Long-Term Care Home,17
06/22/2020,2 Congregate Living,Group Home/Supportive Housing,1
06/22/2020,4 Workplace,Workplace - Farm,30
06/22/2020,4 Workplace,Workplace - Food Processing,2
06/22/2020,4 Workplace,Workplace - Other,4
06/22/2020,5 Recreational,Other recreation,1
06/23/2020,1 Congregate Care,Hospital,2
06/23/2020,1 Congregate Care,Long-Term Care Home,7
06/23/2020,4 Workplace,Workplace - Farm,2
06/23/2020,4 Workplace,Workplace - Food Processing,7
06/23/2020,4 Workplace,Workplace - Other,1
06/23/2020,5 Recreational,Bar/restaurant/nightclub,1
06/23/2020,5 Recreational,Personal service settings,1
06/24/2020,1 Congregate Care,Hospital,2
06/24/2020,1 Congregate Care,Long-Term Care Home,20
06/24/2020,4 Workplace,Workplace - Farm,1
06/24/2020,4 Workplace,Workplace - Other,3
06/24/2020,5 Recreational,Personal service settings,1
06/25/2020,1 Congregate Care,Hospital,2
06/25/2020,1 Congregate Care,Long-Term Care Home,11
06/25/2020,4 Workplace,Workplace - Farm,2
06/25/2020,4 Workplace,Workplace - Other,4
06/25/2020,5 Recreational,Personal service settings,5
06/26/2020,1 Congregate Care,Hospital,1
06/26/2020,1 Congregate Care,Long-Term Care Home,16
06/26/2020,2 Congregate Living,Group Home/Supportive Housing,1
06/26/2020,2 Congregate Living,Shelter,1
06/26/2020,4 Workplace,Medical/Health Service,1
06/26/2020,4 Workplace,Workplace - Farm,12
06/26/2020,4 Workplace,Workplace - Food Processing,2
06/26/2020,4 Workplace,Workplace - Other,4
06/27/2020,1 Congregate Care,Hospital,2
06/27/2020,1 Congregate Care,Long-Term Care Home,8
06/27/2020,4 Workplace,Workplace - Farm,95
06/27/2020,4 Workplace,Workplace - Food Processing,4
06/27/2020,4 Workplace,Workplace - Other,2
06/27/2020,5 Recreational,Personal service settings,4
06/28/2020,1 Congregate Care,Hospital,1
06/28/2020,1 Congregate Care,Long-Term Care Home,9
06/28/2020,4 Workplace,Workplace - Farm,87
06/28/2020,4 Workplace,Workplace - Other,4
06/28/2020,5 Recreational,Personal service settings,1
06/29/2020,1 Congregate Care,Hospital,1
06/29/2020,1 Congregate Care,Long-Term Care Home,3
06/29/2020,1 Congregate Care,Retirement Home,3
06/29/2020,2 Congregate Living,Shelter,1
06/29/2020,4 Workplace,Workplace - Farm,3
06/29/2020,5 Recreational,Personal service settings,2
06/30/2020,1 Congregate Care,Hospital,2
06/30/2020,1 Congregate Care,Long-Term Care Home,10
06/30/2020,4 Workplace,Workplace - Farm,7
06/30/2020,4 Workplace,Workplace - Other,4
07/01/2020,1 Congregate Care,Hospital,1
07/01/2020,1 Congregate Care,Long-Term Care Home,23
07/01/2020,2 Congregate Living,Group Home/Supportive Housing,1
07/01/2020,2 Congregate Living,Shelter,1
07/01/2020,4 Workplace,Retail,1
07/01/2020,4 Workplace,Workplace - Farm,2
07/01/2020,4 Workplace,Workplace - Food Processing,1
07/01/2020,5 Recreational,Personal service settings,1
07/02/2020,1 Congregate Care,Hospital,1
07/02/2020,1 Congregate Care,Long-Term Care Home,11
07/02/2020,1 Congregate Care,Retirement Home,1
07/02/2020,2 Congregate Living,Group Home/Supportive Housing,1
07/02/2020,4 Workplace,Workplace - Farm,18
07/02/2020,4 Workplace,Workplace - Food Processing,1
07/02/2020,4 Workplace,Workplace - Other,3
07/03/2020,1 Congregate Care,Hospital,1
07/03/2020,1 Congregate Care,Long-Term Care Home,2
07/03/2020,1 Congregate Care,Retirement Home,1
07/03/2020,4 Workplace,Medical/Health Service,1
07/03/2020,4 Workplace,Workplace - Farm,11
07/03/2020,4 Workplace,Workplace - Other,1
07/04/2020,1 Congregate Care,Long-Term Care Home,6
07/04/2020,1 Congregate Care,Retirement Home,1
07/04/2020,4 Workplace,Workplace - Farm,5
07/04/2020,4 Workplace,Workplace - Other,1
07/05/2020,1 Congregate Care,Hospital,2
07/05/2020,1 Congregate Care,Retirement Home,1
07/05/2020,2 Congregate Living,Shelter,1
07/05/2020,4 Workplace,Medical/Health Service,1
07/05/2020,4 Workplace,Workplace - Other,1
07/06/2020,1 Congregate Care,Long-Term Care Home,2
07/06/2020,1 Congregate Care,Retirement Home,1
07/06/2020,4 Workplace,Medical/Health Service,2
07/06/2020,4 Workplace,Workplace - Food Processing,1
07/06/2020,4 Workplace,Workplace - Other,6
07/07/2020,1 Congregate Care,Long-Term Care Home,21
07/07/2020,4 Workplace,Workplace - Farm,20
07/07/2020,4 Workplace,Workplace - Other,3
07/08/2020,1 Congregate Care,Hospital,3
07/08/2020,1 Congregate Care,Long-Term Care Home,4
07/08/2020,2 Congregate Living,Group Home/Supportive Housing,1
07/08/2020,4 Workplace,Medical/Health Service,1
07/08/2020,4 Workplace,Workplace - Farm,31
07/08/2020,4 Workplace,Workplace - Other,6
07/08/2020,5 Recreational,Bar/restaurant/nightclub,1
07/09/2020,1 Congregate Care,Hospital,1
07/09/2020,1 Congregate Care,Long-Term Care Home,9
07/09/2020,1 Congregate Care,Retirement Home,2
07/09/2020,2 Congregate Living,Shelter,1
07/09/2020,4 Workplace,Medical/Health Service,1
07/09/2020,4 Workplace,Workplace - Farm,2
07/09/2020,4 Workplace,Workplace - Food Processing,1
07/09/2020,4 Workplace,Workplace - Other,8
07/10/2020,1 Congregate Care,Long-Term Care Home,4
07/10/2020,1 Congregate Care,Retirement Home,1
07/10/2020,4 Workplace,Retail,1
07/10/2020,4 Workplace,Workplace - Farm,2
07/10/2020,4 Workplace,Workplace - Food Processing,1
07/10/2020,4 Workplace,Workplace - Other,3
07/11/2020,1 Congregate Care,Hospital,3
07/11/2020,1 Congregate Care,Long-Term Care Home,8
07/11/2020,1 Congregate Care,Retirement Home,1
07/11/2020,2 Congregate Living,Short-term accommodations,1
07/11/2020,4 Workplace,Workplace - Farm,6
07/11/2020,4 Workplace,Workplace - Other,3
07/11/2020,5 Recreational,Bar/restaurant/nightclub,2
07/12/2020,1 Congregate Care,Long-Term Care Home,2
07/12/2020,1 Congregate Care,Retirement Home,1
07/12/2020,4 Workplace,Retail,1
07/12/2020,4 Workplace,Workplace - Farm,9
07/12/2020,4 Workplace,Workplace - Other,3
07/12/2020,5 Recreational,Bar/restaurant/nightclub,1
07/13/2020,1 Congregate Care,Hospital,1
07/13/2020,1 Congregate Care,Long-Term Care Home,6
07/13/2020,4 Workplace,Retail,2
07/13/2020,4 Workplace,Workplace - Farm,5
07/13/2020,4 Workplace,Workplace - Other,2
07/13/2020,6 Other/Unknown,Unknown,1
07/14/2020,1 Congregate Care,Hospital,1
07/14/2020,1 Congregate Care,Long-Term Care Home,3
07/14/2020,2 Congregate Living,Group Home/Supportive Housing,1
07/14/2020,2 Congregate Living,Shelter,1
07/14/2020,4 Workplace,Retail,2
07/14/2020,4 Workplace,Workplace - Farm,4
07/14/2020,4 Workplace,Workplace - Food Processing,1
07/14/2020,4 Workplace,Workplace - Other,6
07/15/2020,1 Congregate Care,Hospital,3
07/15/2020,1 Congregate Care,Long-Term Care Home,1
07/15/2020,2 Congregate Living,Shelter,1
07/15/2020,4 Workplace,Retail,4
07/15/2020,4 Workplace,Workplace - Farm,10
07/15/2020,4 Workplace,Workplace - Other,5
07/16/2020,1 Congregate Care,Hospital,2
07/16/2020,1 Congregate Care,Long-Term Care Home,4
07/16/2020,1 Congregate Care,Retirement Home,8
07/16/2020,4 Workplace,Workplace - Farm,6
07/16/2020,4 Workplace,Workplace - Other,5
07/17/2020,1 Congregate Care,Hospital,1
07/17/2020,1 Congregate Care,Long-Term Care Home,7
07/17/2020,1 Congregate Care,Retirement Home,2
07/17/2020,4 Workplace,Workplace - Farm,13
07/17/2020,4 Workplace,Workplace - Other,4
07/17/2020,6 Other/Unknown,Unknown,3
07/18/2020,1 Congregate Care,Hospital,2
07/18/2020,2 Congregate Living,Group Home/Supportive Housing,1
07/18/2020,4 Workplace,Retail,1
07/18/2020,4 Workplace,Workplace - Farm,9
07/18/2020,4 Workplace,Workplace - Other,19
07/18/2020,6 Other/Unknown,Unknown,1
07/19/2020,1 Congregate Care,Long-Term Care Home,3
07/19/2020,1 Congregate Care,Retirement Home,1
07/19/2020,4 Workplace,Workplace - Farm,3
07/19/2020,4 Workplace,Workplace - Other,7
07/20/2020,1 Congregate Care,Long-Term Care Home,4
07/20/2020,1 Congregate Care,Retirement Home,2
07/20/2020,2 Congregate Living,Group Home/Supportive Housing,1
07/20/2020,3 Education,Child care,5
07/20/2020,4 Workplace,Workplace - Farm,10
07/20/2020,4 Workplace,Workplace - Other,6
07/20/2020,6 Other/Unknown,Unknown,2
07/21/2020,3 Education,Child care,1
07/21/2020,4 Workplace,Workplace - Farm,5
07/21/2020,4 Workplace,Workplace - Other,7
07/21/2020,5 Recreational,Other recreation,1
07/22/2020,1 Congregate Care,Long-Term Care Home,1
07/22/2020,1 Congregate Care,Retirement Home,2
07/22/2020,4 Workplace,Workplace - Farm,7
07/22/2020,4 Workplace,Workplace - Other,4
07/22/2020,6 Other/Unknown,Unknown,1
07/23/2020,1 Congregate Care,Hospital,1
07/23/2020,1 Congregate Care,Long-Term Care Home,4
07/23/2020,1 Congregate Care,Retirement Home,2
07/23/2020,3 Education,Child care,2
07/23/2020,4 Workplace,Workplace - Farm,23
07/23/2020,4 Workplace,Workplace - Other,5
07/23/2020,5 Recreational,Other recreation,1
07/23/2020,6 Other/Unknown,Unknown,2
07/24/2020,1 Congregate Care,Long-Term Care Home,3
07/24/2020,3 Education,Child care,5
07/24/2020,4 Workplace,Workplace - Farm,10
07/24/2020,4 Workplace,Workplace - Other,2
07/24/2020,5 Recreational,Other recreation,3
07/24/2020,6 Other/Unknown,Unknown,1
07/25/2020,1 Congregate Care,Hospital,1
07/25/2020,1 Congregate Care,Long-Term Care Home,1
07/25/2020,1 Congregate Care,Retirement Home,2
07/25/2020,4 Workplace,Workplace - Farm,9
07/25/2020,4 Workplace,Workplace - Other,2
07/25/2020,6 Other/Unknown,Unknown,1
07/26/2020,1 Congregate Care,Long-Term Care Home,2
07/26/2020,3 Education,Child care,1
07/26/2020,4 Workplace,Workplace - Farm,21
07/26/2020,4 Workplace,Workplace - Other,4
07/26/2020,5 Recreational,Other recreation,1
07/26/2020,6 Other/Unknown,Unknown,3
07/27/2020,1 Congregate Care,Hospital,1
07/27/2020,1 Congregate Care,Long-Term Care Home,2
07/27/2020,1 Congregate Care,Retirement Home,3
07/27/2020,2 Congregate Living,Group Home/Supportive Housing,1
07/27/2020,3 Education,Child care,1
07/27/2020,4 Workplace,Workplace - Farm,11
07/27/2020,4 Workplace,Workplace - Other,6
07/27/2020,6 Other/Unknown,Unknown,4
07/28/2020,1 Congregate Care,Long-Term Care Home,2
07/28/2020,3 Education,Child care,1
07/28/2020,4 Workplace,Workplace - Farm,11
07/28/2020,4 Workplace,Workplace - Other,7
07/29/2020,1 Congregate Care,Long-Term Care Home,2
07/29/2020,4 Workplace,Workplace - Farm,2
07/29/2020,4 Workplace,Workplace - Food Processing,3
07/29/2020,4 Workplace,Workplace - Other,2
07/29/2020,5 Recreational,Other recreation,1
07/30/2020,1 Congregate Care,Long-Term Care Home,2
07/30/2020,4 Workplace,Workplace - Farm,7
07/30/2020,4 Workplace,Workplace - Food Processing,1
07/30/2020,4 Workplace,Workplace - Other,3
07/30/2020,5 Recreational,Other recreation,2
07/30/2020,6 Other/Unknown,Unknown,2
07/31/2020,1 Congregate Care,Hospital,1
07/31/2020,1 Congregate Care,Retirement Home,1
07/31/2020,2 Congregate Living,Shelter,1
07/31/2020,4 Workplace,Workplace - Food Processing,1
07/31/2020,4 Workplace,Workplace - Other,5
08/01/2020,2 Congregate Living,Group Home/Supportive Housing,1
08/01/2020,2 Congregate Living,Shelter,1
08/01/2020,3 Education,Child care,1
08/01/2020,4 Workplace,Workplace - Farm,1
08/01/2020,4 Workplace,Workplace - Other,1
08/02/2020,1 Congregate Care,Long-Term Care Home,2
08/02/2020,4 Workplace,Workplace - Farm,1
08/02/2020,4 Workplace,Workplace - Food Processing,2
08/02/2020,5 Recreational,Other recreation,2
08/03/2020,1 Congregate Care,Long-Term Care Home,2
08/03/2020,1 Congregate Care,Retirement Home,1
08/03/2020,2 Congregate Living,Group Home/Supportive Housing,3
08/03/2020,4 Workplace,Workplace - Farm,5
08/03/2020,4 Workplace,Workplace - Other,1
08/04/2020,1 Congregate Care,Long-Term Care Home,1
08/04/2020,1 Congregate Care,Retirement Home,1
08/04/2020,2 Congregate Living,Group Home/Supportive Housing,2
08/04/2020,2 Congregate Living,Shelter,1
08/04/2020,4 Workplace,Workplace - Farm,1
08/04/2020,4 Workplace,Workplace - Other,1
08/04/2020,5 Recreational,Other recreation,4
08/05/2020,1 Congregate Care,Hospital,1
08/05/2020,2 Congregate Living,Shelter,1
08/05/2020,4 Workplace,Workplace - Food Processing,2
08/05/2020,4 Workplace,Workplace - Other,2
08/06/2020,1 Congregate Care,Hospital,1
08/06/2020,1 Congregate Care,Long-Term Care Home,4
08/06/2020,2 Congregate Living,Correctional Facility,1
08/06/2020,2 Congregate Living,Shelter,1
08/06/2020,4 Workplace,Workplace - Farm,2
08/06/2020,4 Workplace,Workplace - Food Processing,1
08/06/2020,4 Workplace,Workplace - Other,2
08/07/2020,1 Congregate Care,Long-Term Care Home,1
08/07/2020,4 Workplace,Workplace - Other,1
08/07/2020,6 Other/Unknown,Unknown,1
08/08/2020,1 Congregate Care,Hospital,1
08/08/2020,1 Congregate Care,Long-Term Care Home,1
08/08/2020,4 Workplace,Workplace - Farm,2
08/08/2020,4 Workplace,Workplace - Other,2
08/08/2020,5 Recreational,Other recreation,2
08/09/2020,1 Congregate Care,Retirement Home,1
08/09/2020,2 Congregate Living,Shelter,2
08/09/2020,4 Workplace,Workplace - Farm,2
08/09/2020,4 Workplace,Workplace - Other,2
08/09/2020,5 Recreational,Other recreation,1
08/10/2020,1 Congregate Care,Retirement Home,1
08/10/2020,4 Workplace,Workplace - Other,3
08/11/2020,2 Congregate Living,Shelter,3
08/12/2020,1 Congregate Care,Long-Term Care Home,1
08/12/2020,4 Workplace,Workplace - Farm,2
08/12/2020,4 Workplace,Workplace - Other,2
08/13/2020,4 Workplace,Workplace - Other,3
08/13/2020,5 Recreational,Recreational fitness,1
08/14/2020,1 Congregate Care,Long-Term Care Home,1
08/14/2020,4 Workplace,Workplace - Other,4
08/14/2020,5 Recreational,Bar/restaurant/nightclub,1
08/15/2020,1 Congregate Care,Long-Term Care Home,2
08/15/2020,4 Workplace,Workplace - Farm,1
08/15/2020,4 Workplace,Workplace - Food Processing,1
08/15/2020,4 Workplace,Workplace - Other,1
08/16/2020,1 Congregate Care,Long-Term Care Home,1
08/16/2020,1 Congregate Care,Retirement Home,1
08/16/2020,4 Workplace,Workplace - Other,1
08/17/2020,1 Congregate Care,Retirement Home,3
08/17/2020,2 Congregate Living,Group Home/Supportive Housing,1
08/17/2020,4 Workplace,Workplace - Farm,1
08/17/2020,4 Workplace,Workplace - Other,1
08/17/2020,5 Recreational,Bar/restaurant/nightclub,1
08/17/2020,5 Recreational,Recreational fitness,1
08/18/2020,1 Congregate Care,Retirement Home,6
08/18/2020,3 Education,Child care,3
08/18/2020,4 Workplace,Medical/Health Service,1
08/18/2020,4 Workplace,Workplace - Farm,6
08/18/2020,4 Workplace,Workplace - Food Processing,1
08/18/2020,4 Workplace,Workplace - Other,2
08/19/2020,1 Congregate Care,Retirement Home,3
08/19/2020,4 Workplace,Workplace - Other,5
08/19/2020,5 Recreational,Other recreation,1
08/20/2020,1 Congregate Care,Retirement Home,1
08/20/2020,2 Congregate Living,Group Home/Supportive Housing,1
08/20/2020,4 Workplace,Workplace - Food Processing,1
08/20/2020,4 Workplace,Workplace - Other,1
08/20/2020,5 Recreational,Bar/restaurant/nightclub,2
08/20/2020,5 Recreational,Other recreation,1
08/21/2020,1 Congregate Care,Long-Term Care Home,2
08/21/2020,1 Congregate Care,Retirement Home,3
08/21/2020,4 Workplace,Workplace - Other,1
08/21/2020,5 Recreational,Other recreation,1
