ï»¿Report_Data_Extracted,LTC_Home,City,Beds,Total_LTC_Resident_Deaths
2020-06-19,Golden Years Nursing Home,Cambridge,88.0,0
2020-06-19,Grace Villa Nursing Home,Hamilton,184.0,0
2020-06-19,Greenwood Court,Stratford,45.0,<5
2020-06-19,Hallowell House,Picton,97.0,0
2020-06-19,Hampton Terrace Care Centre,Burlington,101.0,0
2020-06-19,Harmony Hills Care Community,East York,160.0,0
2020-06-19,Harold and Grace Baker Centre,Toronto,120.0,16
2020-06-19,Hastings Manor Home for the Aged,Belleville,253.0,<5
2020-06-19,Hawthorne Place Care Centre,North York,269.0,48
2020-06-19,Hellenic Care for Seniors (Toronto),Toronto,81.0,0
2020-06-19,Henley Place,London,192.0,0
2020-06-19,Heritage Green Nursing Home,Stoney Creek,167.0,<5
2020-06-19,Heron Terrace Long Term Care Community,Windsor,140.0,25
2020-06-19,Hillsdale Estates,Oshawa,300.0,0
2020-06-19,Hillsdale Terraces,Oshawa,200.0,13
2020-06-19,Hillside Manor,Stratford,90.0,0
2020-06-19,Hogarth Riverview Manor,Thunder Bay,543.0,0
2020-06-19,Humber Valley Terrace,Etobicoke (Rexdale),158.0,36
2020-06-19,Idlewyld Manor,Hamilton,192.0,0
2020-06-19,IOOF Seniors Home,Barrie,182.0,0
2020-06-19,Isabel and Arthur Meighen Manor,Toronto,168.0,48
2020-06-19,Ivan Franko Home (Etobicoke),Toronto,85.0,0
2020-06-19,Kennedy Lodge,Scarborough,289.0,0
2020-06-19,Kensington Village,London,78.0,7
2020-06-19,Kilean Lodge,Grimsby,50.0,0
2020-06-19,Kristus Darzs Latvian Home,Woodbridge,100.0,11
2020-06-19,Labdara Lithuanian Nursing Home,Etobicoke,90.0,0
2020-06-19,Lakeshore Lodge,Etobicoke,150.0,12
2020-06-19,Lakeview Manor,Beaverton,149.0,0
2020-06-19,Lambton Meadowview Villa,Petrolia,125.0,0
2020-06-19,Lanark Heights Long Term Care Centre,Kitchener,160.0,0
2020-06-19,Lanark Lodge,Perth,163.0,0
2020-06-19,Leamington Mennonite Home Long Term Care Residence,Leamington,84.0,0
2020-06-19,Macassa  Lodge,Hamilton,270.0,0
2020-06-19,Mackenzie Health Long Term Care Facility,Richmond Hill,168.0,0
2020-06-19,MacKenzie Place,Newmarket,93.0,15
2020-06-19,Madonna Care Community,Orleans,160.0,46
2020-06-19,Main Street Terrace,Toronto,150.0,0
2020-06-19,Maitland Manor,Goderich,91.0,0
2020-06-19,Malton Village Long Term Care Centre,Mississauga,160.0,0
2020-06-19,Manitoulin Lodge,Gore Bay,62.0,0
2020-06-19,Manoir Marochel,Ottawa,64.0,9
2020-06-19,Maple View,Owen Sound,29.0,0
2020-06-19,Maple View Lodge,Athens,60.0,0
2020-06-19,Maplewood,Brighton,49.0,0
2020-06-19,Markhaven,Markham,96.0,17
2020-06-19,Marshall Gowland Manor,Sarnia,126.0,0
2020-06-19,Maxville Manor,Maxville,122.0,0
2020-06-19,Maynard Nursing Home,Toronto,77.0,0
2020-06-19,McCall Centre Long Term Care Interim Unit,Etobicoke,21.0,0
2020-06-19,Meadow Park (London),London,126.0,<5
2020-06-19,Miramichi Lodge,Pembroke,166.0,0
2020-06-19,Moira Place Long-Term Care Home,Tweed,128.0,0
2020-06-19,Mon Sheong Home for the Aged,Toronto,105.0,33
2020-06-19,Mon Sheong Scarborough Long Term Care Centre,Scarborough,160.0,0
2020-06-19,Mount Hope Centre for Long Term Care,London,394.0,0
2020-06-19,North Park Nursing Home,North York,75.0,0
2020-06-19,Northridge,Oakville,133.0,0
2020-06-19,Northview Nursing Home,Englehart,48.0,0
2020-06-19,Norwood Nursing Home,Toronto,60.0,0
2020-06-19,Orchard Villa,Pickering,233.0,70
2020-06-19,Parkview Manor Health Care Centre,Chesley,34.0,0
2020-06-19,Parkwood Mennonite Home,Waterloo,96.0,0
2020-06-19,Peel Manor,Brampton,177.0,<5
2020-06-19,peopleCare Hilltop Manor Cambridge,Cambridge,185.0,0
2020-06-19,Pinehaven Nursing Home,Waterloo,84.0,0
2020-06-19,Pioneer Manor,Sudbury,433.0,0
2020-06-19,Post Inn Village,Oakville,228.0,0
2020-06-19,Providence Healthcare,Scarborough,288.0,<5
2020-06-19,Providence Manor,Kingston,243.0,0
2020-06-19,Regency Park Long Term Care Home,Windsor,72.0,0
2020-06-19,Regina Gardens,Hamilton,128.0,0
2020-06-19,Riverside Place,Windsor,96.0,0
2020-06-19,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-06-19,Rockcliffe Care Community,Scarborough,204.0,0
2020-06-19,Rosebridge Manor,Jasper,78.0,0
2020-06-19,Royal Rose Place,Welland,96.0,20
2020-06-19,Royal Terrace,Palmerston,67.0,0
2020-06-19,Saint Luke's Place,Cambridge,114.0,0
2020-06-19,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-06-19,Shelburne Long Term Care Home,Shelburne,60.0,18
2020-06-19,Shepherd Lodge,Toronto,252.0,0
2020-06-19,Sherbourne Place,Toronto,126.0,19
2020-06-19,Sheridan Villa,Mississauga,142.0,<5
2020-06-19,Sherwood Court Long Term Care Centre,Maple,96.0,0
2020-06-19,Silverthorn Care Community,Mississauga,160.0,0
2020-06-19,South Centennial Manor,Iroquois Falls,69.0,0
2020-06-19,Southlake Residential Care Village,Newmarket,224.0,0
2020-06-19,Spencer House,Orillia,160.0,0
2020-06-19,Sprucedale Care Centre,Strathroy,96.0,0
2020-06-19,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-06-19,St. Gabriel's Villa of Sudbury,Chelmsford,128.0,0
2020-06-19,St. Joseph's at Fleming,Peterborough,200.0,<5
2020-06-19,St. Joseph's Continuing Care Centre,Cornwall,150.0,0
2020-06-19,St. Joseph's Lifecare Centre,Brantford,205.0,0
2020-06-19,"St. Joseph's Villa, Dundas",Dundas,425.0,0
2020-06-19,"St. Joseph's Villa, Sudbury",Sudbury,128.0,<5
2020-06-19,St. Patrick's Home,Ottawa,288.0,<5
2020-06-19,Stirling Heights,Cambridge,110.0,0
2020-06-19,Stoneridge Manor,Carleton Place,60.0,6
2020-06-19,Strathcona Long Term Care,Mount Forest,87.0,0
2020-06-19,Sumac Lodge,Sarnia,100.0,0
2020-06-19,Sun Parlor Home for Senior Citizens,Leamington,206.0,<5
2020-06-19,Sunnycrest Nursing Home,Whitby,136.0,0
2020-06-19,Sunnyside Home,Kitchener,263.0,0
2020-06-19,Tall Pines Long Term Care Centre,Brampton,160.0,0
2020-06-19,Telfer Place,Paris,45.0,0
2020-06-19,Temiskaming Lodge,Haileybury,83.0,0
2020-06-19,Tendercare Living Centre,Scarborough,254.0,0
2020-06-19,The Henley House,St. Catharines,160.0,0
2020-06-19,The Jewish Home for the Aged,North York,472.0,<5
2020-06-19,The Kensington Gardens,Toronto,350.0,8
2020-06-19,The Norfolk Hospital Nursing Home,Simcoe,80.0,0
2020-06-19,The O'Neill Centre,Toronto,162.0,0
2020-06-19,The Village at St. Clair,Windsor,256.0,0
2020-06-19,The Village at University Gates,Waterloo,192.0,0
2020-06-19,The Village of Erin Meadows,Mississauga,180.0,20
2020-06-19,The Village of Riverside Glen,Guelph,192.0,0
2020-06-19,The Village of Taunton Mills,Whitby,120.0,0
2020-06-19,The Village of Wentworth Heights,Hamilton,120.0,0
2020-06-19,The Village of Winston Park,Kitchener,95.0,0
2020-06-19,The Wexford,Scarborough,166.0,0
2020-06-19,The Woodlands of Sunset,Welland,121.0,0
2020-06-19,Thompson House,North York,136.0,0
2020-06-19,Thorntonview,Oshawa,154.0,0
2020-06-19,Tony Stacey Centre for Veterans' Care,Toronto,100.0,0
2020-06-19,Trinity Village Care Centre,Kitchener,150.0,18
2020-06-19,Tufford Nursing Home,St. Catharines,64.0,0
2020-06-19,Twin Oaks of Maryhill,Maryhill,31.0,0
2020-06-19,Union Villa,Unionville,160.0,0
2020-06-19,Valleyview Residence,North York,174.0,<5
2020-06-19,Vermont Square,Toronto,130.0,0
2020-06-19,Villa Colombo Seniors Centre (Vaughan),Vaughan,160.0,21
2020-06-19,Villa Forum,Mississauga,160.0,10
2020-06-19,Villa Marconi,Ottawa,128.0,0
2020-06-19,Wellesley Central Place,Toronto,150.0,18
2020-06-19,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-06-19,Wentworth Lodge,Dundas,160.0,0
2020-06-19,Wesburn Manor,Etobicoke,192.0,<5
2020-06-19,West Oak Village,Oakville,133.0,0
2020-06-19,West Park Health Centre,St. Catharines,101.0,<5
2020-06-19,Westside,Etobicoke,242.0,<5
2020-06-19,Wikwemikong Nursing Home,Wikwemikong,59.0,0
2020-06-19,Woodland Villa,Long Sault,111.0,0
2020-06-19,Woods Park Care Centre,Barrie,123.0,0
2020-06-19,Wyndham Manor Long Term Care Centre,Oakville,128.0,0
2020-06-19,Yee Hong Centre - Markham,Markham,200.0,0
2020-06-19,Yee Hong Centre - Mississauga,Mississauga,200.0,0
2020-06-19,Yee Hong Centre - Scarborough Finch,Scarborough,250.0,0
2020-06-19,Yee Hong Centre - Scarborough McNicoll,Scarborough,155.0,0
2020-06-20,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0
2020-06-20,Alexander Place,Waterdown,128.0,0
2020-06-20,Allendale,Milton,200.0,0
2020-06-20,Altamont Care Community,Scarborough,159.0,53
2020-06-20,Arbour Creek Long-Term Care Centre,Hamilton,129.0,0
2020-06-20,Avalon Retirement Centre,Orangeville,137.0,0
2020-06-20,Banwell Gardens Care Centre,Tecumseh,142.0,0
2020-06-20,Bay Ridges,Pickering,124.0,0
2020-06-20,Belmont House,Toronto,140.0,0
2020-06-20,Belmont Long Term Care Facility,Belleville,128.0,0
2020-06-20,Bendale Acres,Scarborough,302.0,0
2020-06-20,Bennett Health Care Centre,Georgetown,66.0,0
2020-06-20,Berkshire Care Centre,Windsor,231.0,0
2020-06-20,Bethany Lodge,Markham,128.0,<5
2020-06-20,Blackadar Continuing Care Centre,Dundas,80.0,0
2020-06-20,Blue Water Rest Home,Zurich,65.0,0
2020-06-20,Bonnechere Manor,Renfrew,180.0,0
2020-06-20,Bradford Valley Care Community,Bradford,246.0,12
2020-06-20,Braemar Retirement Centre,Wingham,69.0,0
2020-06-20,Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,Walkerton,144.0,0
2020-06-20,Carefree Lodge,North York,127.0,0
2020-06-20,Caressant Care Courtland,Courtland,55.0,0
2020-06-20,Caressant Care Fergus Nursing Home,Fergus,87.0,0
2020-06-20,Caressant Care Lindsay Nursing Home,Lindsay,124.0,0
2020-06-20,Caressant Care on Bonnie Place,St Thomas,116.0,0
2020-06-20,Case Manor Care Community,Bobcaygeon,96.0,0
2020-06-20,Cassellholme,North Bay,240.0,0
2020-06-20,Cawthra Gardens,Mississauga,192.0,0
2020-06-20,Cedarvale Terrace,Toronto,218.0,0
2020-06-20,Centre d'Accueil Champlain,Vanier,160.0,0
2020-06-20,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0
2020-06-20,Chartwell Aurora Long Term Care Residence,Aurora,235.0,11
2020-06-20,Chartwell Ballycliffe Long Term Care Residence,Ajax,100.0,32
2020-06-20,Chartwell Brant Centre Long Term Care Residence,Burlington,175.0,0
2020-06-20,Chartwell Elmira Long Term Care Residence,Elmira,48.0,0
2020-06-20,Chartwell Gibson Long Term Care Residence,North York,202.0,9
2020-06-20,Chartwell Pine Grove Long Term Care Residence,Woodbridge,96.0,0
2020-06-20,Chartwell Royal Oak Long Term Care Residence,Kingsville,160.0,0
2020-06-20,Chartwell Waterford Long Term Care Residence,Oakville,168.0,0
2020-06-20,Chartwell Wenleigh Long Term Care Residence,Mississauga,161.0,0
2020-06-20,Chartwell Westbury Long Term Care Residence,Etobicoke,187.0,22
2020-06-20,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-06-20,Chartwell White Eagle Long Term Care Residence,Toronto,56.0,12
2020-06-20,Chartwell Woodhaven Long Term Care Residence,Markham,192.0,0
2020-06-20,Chartwell Wynfield Long Term Care Residence,Oshawa,172.0,0
2020-06-20,Chelsey Park,London,247.0,0
2020-06-20,Collingwood Nursing Home,Collingwood,64.0,0
2020-06-20,Columbia Forest,Waterloo,156.0,0
2020-06-20,Copernicus Lodge,Toronto,228.0,0
2020-06-20,Country Terrace,Komoka,120.0,0
2020-06-20,Craiglee Nursing Home,Scarborough,169.0,<5
2020-06-20,Creedan Valley Care Community,Creemore,95.0,0
2020-06-20,Creek Way Village,Burlington,144.0,0
2020-06-20,Cummer Lodge,North York,391.0,<5
2020-06-20,Delhi Long Term Care Centre,Delhi,60.0,0
2020-06-20,Dom Lipa,Etobicoke,66.0,0
2020-06-20,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-06-20,Downsview Long Term Care Centre,North York,252.0,64
2020-06-20,Dufferin Oaks,Shelburne,160.0,0
2020-06-20,Dundurn Place Care Centre,Hamilton,201.0,<5
2020-06-20,Eagle Terrace,Newmarket,70.0,<5
2020-06-20,Earls Court Village,London,128.0,0
2020-06-20,Eastholme Home for the Aged,Powassan,128.0,0
2020-06-20,Ehatare Nursing Home,Scarborough,32.0,0
2020-06-20,Ã‰lisabeth-BruyÃ¨re Residence,Ottawa,71.0,15
2020-06-20,Elizabeth Centre,Val Caron,128.0,0
2020-06-20,Elm Grove Living Centre,Toronto,126.0,18
2020-06-20,Elmwood Place,London,90.0,0
2020-06-20,Erin Mills Lodge Nursing Home,Mississauga,86.0,17
2020-06-20,Exeter Villa,Exeter,47.0,0
2020-06-20,Extendicare Bayview,North York,205.0,12
2020-06-20,Extendicare Halton Hills,Georgetown,130.0,0
2020-06-20,Extendicare Hamilton,Hamilton,160.0,0
2020-06-20,Extendicare Lakefield,Lakefield,100.0,0
2020-06-20,Extendicare Laurier Manor,Gloucester,242.0,25
2020-06-20,Extendicare Maple View of Sault Ste. Marie,Sault Ste. Marie,256.0,0
2020-06-20,Extendicare Oshawa,Oshawa,175.0,0
2020-06-20,Extendicare Rouge Valley,Toronto,192.0,0
2020-06-20,Extendicare Scarborough,Scarborough,154.0,14
2020-06-20,Extendicare Southwood Lakes,Windsor,150.0,0
2020-06-20,Extendicare Starwood,Nepean,192.0,0
2020-06-20,Extendicare Tecumseh,Tecumseh,128.0,0
2020-06-20,Extendicare Timmins,Timmins,180.0,0
2020-06-20,Extendicare West End Villa,Ottawa,242.0,0
2020-06-20,Extendicare York,Sudbury,288.0,0
2020-06-20,Fairview Lodge,Whitby,198.0,0
2020-06-20,Faith Manor Nursing Home,Brampton,120.0,<5
2020-06-20,Finlandia Hoivakoti Nursing Home,Sudbury,112.0,0
2020-06-20,Fountain View Care Community,East York,158.0,0
2020-06-20,Foyer St-Viateur Nursing Home,Limoges,57.0,0
2020-06-20,Franklin Gardens Long Term Care Home,Leamington,120.0,0
2020-06-20,Garden Terrace,Kanata,160.0,0
2020-06-20,Gardenview Long Term Care Home,Townsend,64.0,0
2020-06-20,Glen Hill Strathaven,Bowmanville,210.0,0
2020-06-20,Golden Dawn Nursing Home,Lion's Head,45.0,0
2020-06-20,Golden Manor,Timmins,177.0,0
2020-06-20,Golden Years Nursing Home,Cambridge,88.0,0
2020-06-20,Grace Villa Nursing Home,Hamilton,184.0,0
2020-06-20,Greenwood Court,Stratford,45.0,<5
2020-06-20,Hallowell House,Picton,97.0,0
2020-06-20,Hampton Terrace Care Centre,Burlington,101.0,0
2020-06-20,Harmony Hills Care Community,East York,160.0,0
2020-06-20,Harold and Grace Baker Centre,Toronto,120.0,16
2020-06-20,Hastings Manor Home for the Aged,Belleville,253.0,<5
2020-06-20,Hawthorne Place Care Centre,North York,269.0,48
2020-06-20,Hellenic Care for Seniors (Toronto),Toronto,81.0,0
2020-06-20,Henley Place,London,192.0,0
2020-06-20,Heritage Green Nursing Home,Stoney Creek,167.0,<5
2020-06-20,Heron Terrace Long Term Care Community,Windsor,140.0,25
2020-06-20,Hillsdale Estates,Oshawa,300.0,0
2020-06-20,Hillsdale Terraces,Oshawa,200.0,13
2020-06-20,Hillside Manor,Stratford,90.0,0
2020-06-20,Hogarth Riverview Manor,Thunder Bay,543.0,0
2020-06-20,Humber Valley Terrace,Etobicoke (Rexdale),158.0,36
2020-06-20,Idlewyld Manor,Hamilton,192.0,0
2020-06-20,IOOF Seniors Home,Barrie,182.0,0
2020-06-20,Isabel and Arthur Meighen Manor,Toronto,168.0,48
2020-06-20,Ivan Franko Home (Etobicoke),Toronto,85.0,0
2020-06-20,Kennedy Lodge,Scarborough,289.0,0
2020-06-20,Kensington Village,London,78.0,7
2020-06-20,Kilean Lodge,Grimsby,50.0,0
2020-06-20,Kristus Darzs Latvian Home,Woodbridge,100.0,11
2020-06-20,Labdara Lithuanian Nursing Home,Etobicoke,90.0,0
2020-06-20,Lakeshore Lodge,Etobicoke,150.0,12
2020-06-20,Lakeview Manor,Beaverton,149.0,0
2020-06-20,Lambton Meadowview Villa,Petrolia,125.0,0
2020-06-20,Lanark Heights Long Term Care Centre,Kitchener,160.0,0
2020-06-20,Lanark Lodge,Perth,163.0,0
2020-06-20,Leamington Mennonite Home Long Term Care Residence,Leamington,84.0,0
2020-06-20,Macassa  Lodge,Hamilton,270.0,0
2020-06-20,Mackenzie Health Long Term Care Facility,Richmond Hill,168.0,0
2020-06-20,MacKenzie Place,Newmarket,93.0,15
2020-06-20,Madonna Care Community,Orleans,160.0,46
2020-06-20,Main Street Terrace,Toronto,150.0,0
2020-06-20,Maitland Manor,Goderich,91.0,0
2020-06-20,Malton Village Long Term Care Centre,Mississauga,160.0,0
2020-06-20,Manitoulin Lodge,Gore Bay,62.0,0
2020-06-20,Manoir Marochel,Ottawa,64.0,9
2020-06-20,Maple View,Owen Sound,29.0,0
2020-06-20,Maple View Lodge,Athens,60.0,0
2020-06-20,Maplewood,Brighton,49.0,0
2020-06-20,Markhaven,Markham,96.0,17
2020-06-20,Marshall Gowland Manor,Sarnia,126.0,0
2020-06-20,Maxville Manor,Maxville,122.0,0
2020-06-20,Maynard Nursing Home,Toronto,77.0,0
2020-06-20,McCall Centre Long Term Care Interim Unit,Etobicoke,21.0,0
2020-06-20,Meadow Park (London),London,126.0,<5
2020-06-20,Miramichi Lodge,Pembroke,166.0,0
2020-06-20,Moira Place Long-Term Care Home,Tweed,128.0,0
2020-06-20,Mon Sheong Home for the Aged,Toronto,105.0,33
2020-06-20,Mon Sheong Scarborough Long Term Care Centre,Scarborough,160.0,0
2020-06-20,Mount Hope Centre for Long Term Care,London,394.0,0
2020-06-20,North Park Nursing Home,North York,75.0,0
2020-06-20,Northridge,Oakville,133.0,0
2020-06-20,Northview Nursing Home,Englehart,48.0,0
2020-06-20,Norwood Nursing Home,Toronto,60.0,0
2020-06-20,Orchard Villa,Pickering,233.0,70
2020-06-20,Parkview Manor Health Care Centre,Chesley,34.0,0
2020-06-20,Parkwood Mennonite Home,Waterloo,96.0,0
2020-06-20,Peel Manor,Brampton,177.0,<5
2020-06-20,peopleCare Hilltop Manor Cambridge,Cambridge,185.0,0
2020-06-20,Pinehaven Nursing Home,Waterloo,84.0,0
2020-06-20,Pioneer Manor,Sudbury,433.0,0
2020-06-20,Post Inn Village,Oakville,228.0,0
2020-06-20,Providence Healthcare,Scarborough,288.0,<5
2020-06-20,Providence Manor,Kingston,243.0,0
2020-06-20,Regency Park Long Term Care Home,Windsor,72.0,0
2020-06-20,Regina Gardens,Hamilton,128.0,0
2020-06-20,Riverside Place,Windsor,96.0,0
2020-06-20,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-06-20,Rockcliffe Care Community,Scarborough,204.0,0
2020-06-20,Rosebridge Manor,Jasper,78.0,0
2020-06-20,Royal Rose Place,Welland,96.0,20
2020-06-20,Royal Terrace,Palmerston,67.0,0
2020-06-20,Saint Luke's Place,Cambridge,114.0,0
2020-06-20,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-06-20,Shelburne Long Term Care Home,Shelburne,60.0,18
2020-06-20,Shepherd Lodge,Toronto,252.0,0
2020-06-20,Sherbourne Place,Toronto,126.0,19
2020-06-20,Sheridan Villa,Mississauga,142.0,<5
2020-06-20,Sherwood Court Long Term Care Centre,Maple,96.0,0
2020-06-20,Silverthorn Care Community,Mississauga,160.0,0
2020-06-20,South Centennial Manor,Iroquois Falls,69.0,0
2020-06-20,Southlake Residential Care Village,Newmarket,224.0,0
2020-06-20,Spencer House,Orillia,160.0,0
2020-06-20,Sprucedale Care Centre,Strathroy,96.0,0
2020-06-20,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-06-20,St. Gabriel's Villa of Sudbury,Chelmsford,128.0,0
2020-06-20,St. Joseph's at Fleming,Peterborough,200.0,<5
2020-06-20,St. Joseph's Continuing Care Centre,Cornwall,150.0,0
2020-06-20,St. Joseph's Lifecare Centre,Brantford,205.0,0
2020-06-20,"St. Joseph's Villa, Dundas",Dundas,425.0,0
2020-06-20,"St. Joseph's Villa, Sudbury",Sudbury,128.0,<5
2020-06-20,St. Patrick's Home,Ottawa,288.0,<5
2020-06-20,Stirling Heights,Cambridge,110.0,0
2020-06-20,Stoneridge Manor,Carleton Place,60.0,6
2020-06-20,Strathcona Long Term Care,Mount Forest,87.0,0
2020-06-20,Sumac Lodge,Sarnia,100.0,0
2020-06-20,Sun Parlor Home for Senior Citizens,Leamington,206.0,<5
2020-06-20,Sunnycrest Nursing Home,Whitby,136.0,0
2020-06-20,Sunnyside Home,Kitchener,263.0,0
2020-06-20,Tall Pines Long Term Care Centre,Brampton,160.0,0
2020-06-20,Telfer Place,Paris,45.0,0
2020-06-20,Temiskaming Lodge,Haileybury,83.0,0
2020-06-20,Tendercare Living Centre,Scarborough,254.0,0
2020-06-20,The Henley House,St. Catharines,160.0,0
2020-06-20,The Jewish Home for the Aged,North York,472.0,<5
2020-06-20,The Kensington Gardens,Toronto,350.0,8
2020-06-20,The Norfolk Hospital Nursing Home,Simcoe,80.0,0
2020-06-20,The O'Neill Centre,Toronto,162.0,0
2020-06-20,The Village at St. Clair,Windsor,256.0,0
2020-06-20,The Village at University Gates,Waterloo,192.0,0
2020-06-20,The Village of Erin Meadows,Mississauga,180.0,20
2020-06-20,The Village of Riverside Glen,Guelph,192.0,0
2020-06-20,The Village of Taunton Mills,Whitby,120.0,0
2020-06-20,The Village of Wentworth Heights,Hamilton,120.0,0
2020-06-20,The Village of Winston Park,Kitchener,95.0,0
2020-06-20,The Wexford,Scarborough,166.0,0
2020-06-20,The Woodlands of Sunset,Welland,121.0,0
2020-06-20,Thompson House,North York,136.0,0
2020-06-20,Thorntonview,Oshawa,154.0,0
2020-06-20,Tony Stacey Centre for Veterans' Care,Toronto,100.0,0
2020-06-20,Trinity Village Care Centre,Kitchener,150.0,18
2020-06-20,Tufford Nursing Home,St. Catharines,64.0,0
2020-06-20,Twin Oaks of Maryhill,Maryhill,31.0,0
2020-06-20,Union Villa,Unionville,160.0,0
2020-06-20,Valleyview Residence,North York,174.0,<5
2020-06-20,Vermont Square,Toronto,130.0,0
2020-06-20,Villa Colombo Seniors Centre (Vaughan),Vaughan,160.0,21
2020-06-20,Villa Forum,Mississauga,160.0,10
2020-06-20,Villa Marconi,Ottawa,128.0,0
2020-06-20,Wellesley Central Place,Toronto,150.0,18
2020-06-20,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-06-20,Wentworth Lodge,Dundas,160.0,0
2020-06-20,Wesburn Manor,Etobicoke,192.0,<5
2020-06-20,West Oak Village,Oakville,133.0,0
2020-06-20,West Park Health Centre,St. Catharines,101.0,<5
2020-06-20,Westside,Etobicoke,242.0,<5
2020-06-20,Wikwemikong Nursing Home,Wikwemikong,59.0,0
2020-06-20,Woodland Villa,Long Sault,111.0,0
2020-06-20,Woods Park Care Centre,Barrie,123.0,0
2020-06-20,Wyndham Manor Long Term Care Centre,Oakville,128.0,0
2020-06-20,Yee Hong Centre - Markham,Markham,200.0,0
2020-06-20,Yee Hong Centre - Mississauga,Mississauga,200.0,0
2020-06-20,Yee Hong Centre - Scarborough Finch,Scarborough,250.0,0
2020-06-20,Yee Hong Centre - Scarborough McNicoll,Scarborough,155.0,0
2020-06-21,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0
2020-06-21,Alexander Place,Waterdown,128.0,0
2020-06-21,Allendale,Milton,200.0,0
2020-06-21,Altamont Care Community,Scarborough,159.0,53
2020-06-21,Arbour Creek Long-Term Care Centre,Hamilton,129.0,0
2020-06-21,Avalon Retirement Centre,Orangeville,137.0,0
2020-06-21,Banwell Gardens Care Centre,Tecumseh,142.0,0
2020-06-21,Bay Ridges,Pickering,124.0,0
2020-06-21,Belmont House,Toronto,140.0,0
2020-06-21,Belmont Long Term Care Facility,Belleville,128.0,0
2020-06-21,Bendale Acres,Scarborough,302.0,0
2020-06-21,Bennett Health Care Centre,Georgetown,66.0,0
2020-06-21,Berkshire Care Centre,Windsor,231.0,0
2020-06-21,Bethany Lodge,Markham,128.0,<5
2020-06-21,Blackadar Continuing Care Centre,Dundas,80.0,0
2020-06-21,Blue Water Rest Home,Zurich,65.0,0
2020-06-21,Bonnechere Manor,Renfrew,180.0,0
2020-06-21,Bradford Valley Care Community,Bradford,246.0,12
2020-06-21,Braemar Retirement Centre,Wingham,69.0,0
2020-06-21,Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,Walkerton,144.0,0
2020-06-21,Carefree Lodge,North York,127.0,0
2020-06-21,Caressant Care Courtland,Courtland,55.0,0
2020-06-21,Caressant Care Fergus Nursing Home,Fergus,87.0,0
2020-06-21,Caressant Care Lindsay Nursing Home,Lindsay,124.0,0
2020-06-21,Caressant Care on Bonnie Place,St Thomas,116.0,0
2020-06-21,Case Manor Care Community,Bobcaygeon,96.0,0
2020-06-21,Cassellholme,North Bay,240.0,0
2020-06-21,Cawthra Gardens,Mississauga,192.0,0
2020-06-21,Cedarvale Terrace,Toronto,218.0,0
2020-06-21,Centre d'Accueil Champlain,Vanier,160.0,0
2020-06-21,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0
2020-06-21,Chartwell Aurora Long Term Care Residence,Aurora,235.0,11
2020-06-21,Chartwell Ballycliffe Long Term Care Residence,Ajax,100.0,32
2020-06-21,Chartwell Brant Centre Long Term Care Residence,Burlington,175.0,0
2020-06-21,Chartwell Elmira Long Term Care Residence,Elmira,48.0,0
2020-06-21,Chartwell Gibson Long Term Care Residence,North York,202.0,9
2020-06-21,Chartwell Pine Grove Long Term Care Residence,Woodbridge,96.0,0
2020-06-21,Chartwell Royal Oak Long Term Care Residence,Kingsville,160.0,0
2020-06-21,Chartwell Waterford Long Term Care Residence,Oakville,168.0,0
2020-06-21,Chartwell Wenleigh Long Term Care Residence,Mississauga,161.0,0
2020-06-21,Chartwell Westbury Long Term Care Residence,Etobicoke,187.0,22
2020-06-21,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-06-21,Chartwell White Eagle Long Term Care Residence,Toronto,56.0,12
2020-06-21,Chartwell Woodhaven Long Term Care Residence,Markham,192.0,0
2020-06-21,Chartwell Wynfield Long Term Care Residence,Oshawa,172.0,0
2020-06-21,Chelsey Park,London,247.0,0
2020-06-21,Collingwood Nursing Home,Collingwood,64.0,0
2020-06-21,Columbia Forest,Waterloo,156.0,0
2020-06-21,Copernicus Lodge,Toronto,228.0,0
2020-06-21,Country Terrace,Komoka,120.0,0
2020-06-21,Craiglee Nursing Home,Scarborough,169.0,<5
2020-06-21,Creedan Valley Care Community,Creemore,95.0,0
2020-06-21,Creek Way Village,Burlington,144.0,0
2020-06-21,Cummer Lodge,North York,391.0,<5
2020-06-21,Delhi Long Term Care Centre,Delhi,60.0,0
2020-06-21,Dom Lipa,Etobicoke,66.0,0
